GENE,SGDID,CHROM,START,END
AGE2,YIL044C,chrIX,272950,273846
AGP1,YCL025C,chrIII,76018,77919
AGP2,YBR132C,chrII,499652,501442
AGP3,YFL055W,chrVI,17004,18680
AGX1,YFL030W,chrVI,76831,77988
AHA1,YDR214W,chrIV,892875,893927
AHC1,YOR023C,chrXV,376012,377712
AHC2,YCR082W,chrIII,258883,259269
AHK1,YDL073W,chrIV,326613,329567
AHP1,YLR109W,chrXII,368781,369311
AHT1,YHR093W,chrVIII,289142,289690
AI1,Q0050,chrM,13818,16322
AI2,Q0055,chrM,13818,18830
AI3,Q0060,chrM,13818,19996
AI4,Q0065,chrM,13818,21935
AI5_ALPHA,Q0070,chrM,13818,23167
AI5_BETA,Q0075,chrM,24156,25255
AIF1,YNR074C,chrXIV,777602,778738
AIM10,YER087W,chrV,330576,332306
AIM11,YER093C-A,chrV,347912,348400
AIM14,YGL160W,chrVII,200561,202273
AIM17,YHL021C,chrVIII,64462,65859
AIM18,YHR198C,chrVIII,496315,497280
AIM19,YIL087C,chrIX,199646,200119
AIM2,YAL049C,chrI,51855,52595
AIM20,YIL158W,chrIX,46201,46815
AIM21,YIR003W,chrIX,360885,362924
AIM22,YJL046W,chrX,352386,353615
AIM23,YJL131C,chrX,164278,165348
AIM24,YJR080C,chrX,580432,581616
AIM25,YJR100C,chrX,616351,617334
AIM26,YKL037W,chrXI,369365,369721
AIM29,YKR074W,chrXI,579209,579676
AIM3,YBR108W,chrII,454822,457665
AIM32,YML050W,chrXIII,173139,174074
AIM33,YML087C,chrXIII,94431,95369
AIM34,YMR003W,chrXIII,273118,273714
AIM36,YMR157C,chrXIII,571277,572044
AIM39,YOL053W,chrXV,230085,231272
AIM4,YBR194W,chrII,610038,610409
AIM41,YOR215C,chrXV,746725,747282
AIM44,YPL158C,chrXVI,252034,254310
AIM45,YPR004C,chrXVI,564007,565041
AIM46,YHR199C,chrVIII,497490,498422
AIM6,YDL237W,chrIV,30657,31829
AIM7,YDR063W,chrIV,578663,579112
AIM9,YER080W,chrV,319963,321846
AIP1,YMR092C,chrXIII,451632,453479
AIP5,YFR016C,chrVI,177042,180743
AIR1,YIL079C,chrIX,210923,212005
AIR2,YDL175C,chrIV,144484,145518
AIT1,YDL180W,chrIV,135896,137539
AKL1,YBR059C,chrII,356861,360187
AKR1,YDR264C,chrIV,996029,998323
AKR2,YOR034C,chrXV,394837,397086
ALA1,YOR335C,chrXV,946233,949109
ALB1,YJL122W,chrX,189716,190243
ALD2,YMR170C,chrXIII,601562,603082
ALD3,YMR169C,chrXIII,599352,600872
ALD4,YOR374W,chrXV,1039840,1041399
ALD5,YER073W,chrV,304030,305592
ALD6,YPL061W,chrXVI,432588,434090
ALE1,YOR175C,chrXV,659815,661674
ALF1,YNL148C,chrXIV,349907,350671
ALG1,YBR110W,chrII,458872,460221
ALG11,YNL048W,chrXIV,538173,539819
ALG12,YNR030W,chrXIV,678799,680454
ALG13,YGL047W,chrVII,411552,412160
ALG14,YBR070C,chrII,379221,379934
ALG2,YGL065C,chrVII,379760,381271
ALG3,YBL082C,chrII,69751,71127
ALG5,YPL227C,chrXVI,120163,121167
ALG6,YOR002W,chrXV,329417,331051
ALG7,YBR243C,chrII,705447,706793
ALG8,YOR067C,chrXV,451729,453462
ALG9,YNL219C,chrXIV,235996,237663
ALK1,YGL021W,chrVII,454785,457067
ALK2,YBL009W,chrII,207194,209224
ALO1,YML086C,chrXIII,95791,97371
ALP1,YNL270C,chrXIV,135940,137661
ALR1,YOL130W,chrXV,74400,76979
ALR2,YFL050C,chrVI,33272,35848
ALT1,YLR089C,chrXII,318237,320015
ALT2,YDR111C,chrIV,678241,679764
ALY1,YKR021W,chrXI,479234,481981
ALY2,YJL084C,chrX,274862,278002
AMA1,YGR225W,chrVII,945145,947019
AMD1,YML035C,chrXIII,206428,208860
AMD2,YDR242W,chrIV,946807,948456
AME1,YBR211C,chrII,646158,647132
AMF1,YOR378W,chrXV,1049511,1051058
AMN1,YBR158W,chrII,556549,558198
AMS1,YGL156W,chrVII,210416,213667
ANB1,YJR047C,chrX,524908,525381
ANK1,YGL242C,chrVII,44652,45197
ANP1,YEL036C,chrV,83050,84552
ANR2,YKL047W,chrXI,349463,351013
ANS1,YHR126C,chrVIII,359702,360181
ANT1,YPR128C,chrXVI,791218,792204
ANY1,YMR010W,chrXIII,285100,286317
AOS1,YPR180W,chrXVI,895961,897004
APA1,YCL050C,chrIII,37836,38801
APA2,YDR530C,chrIV,1496791,1497768
APC1,YNL172W,chrXIV,310636,315882
APC11,YDL008W,chrIV,433497,433994
APC2,YLR127C,chrXII,395758,398319
APC4,YDR118W,chrIV,685882,687840
APC5,YOR249C,chrXV,798674,800731
APC9,YLR102C,chrXII,342970,343767
APD1,YBR151W,chrII,545028,545978
APE1,YKL103C,chrXI,246138,247682
APE2,YKL157W,chrXI,154991,158232
APE3,YBR286W,chrII,774700,776313
APE4,YHR113W,chrVIII,336337,337809
API2,YDR525W,chrIV,1489905,1490234
APJ1,YNL077W,chrXIV,481391,482977
APL1,YJR005W,chrX,445923,448025
APL2,YKL135C,chrXI,186460,188640
APL3,YBL037W,chrII,147209,150286
APL4,YPR029C,chrXVI,624469,626967
APL5,YPL195W,chrXVI,176223,179021
APL6,YGR261C,chrVII,1014321,1016750
APM1,YPL259C,chrXVI,51244,52671
APM2,YHL019C,chrVIII,67731,69548
APM3,YBR288C,chrII,778012,779463
APM4,YOL062C,chrXV,210520,211995
APN1,YKL114C,chrXI,223352,224455
APN2,YBL019W,chrII,184353,185915
APP1,YNL094W,chrXIV,447611,449374
APQ12,YIL040W,chrIX,277723,278139
APQ13,YJL075C,chrX,298460,298876
APS1,YLR170C,chrXII,500579,501049
APS2,YJR058C,chrX,544732,545175
APS3,YJL024C,chrX,395931,396592
APT1,YML022W,chrXIII,228937,229500
APT2,YDR441C,chrIV,1344517,1345062
AQR1,YNL065W,chrXIV,503724,505484
AQY1,YPR192W,chrXVI,921860,922777
AQY2,YLL052C,chrXII,35912,36361
AQY3,YFL054C,chrVI,20847,22787
ARA1,YBR149W,chrII,539987,541021
ARA2,YMR041C,chrXIII,350966,351973
ARB1,YER036C,chrV,223367,225199
ARC1,YGL105W,chrVII,307437,308567
ARC15,YIL062C,chrIX,243998,244462
ARC18,YLR370C,chrXII,861718,862254
ARC19,YKL013C,chrXI,417508,418023
ARC35,YNR035C,chrXIV,693019,694047
ARC40,YBR234C,chrII,685438,686592
ARD1,YHR013C,chrVIII,130730,131446
ARE1,YCR048W,chrIII,211929,213761
ARE2,YNR019W,chrXIV,665339,667267
ARF1,YDL192W,chrIV,116321,116866
ARF2,YDL137W,chrIV,216529,217074
ARF3,YOR094W,chrXV,502795,503346
ARG1,YOL058W,chrXV,219211,220473
ARG2,YJL071W,chrX,306132,307856
ARG3,YJL088W,chrX,268799,269815
ARG4,YHR018C,chrVIII,140011,141402
ARG56,YER069W,chrV,295410,298001
ARG7,YMR062C,chrXIII,395054,396379
ARG8,YOL140W,chrXV,58759,60030
ARG80,YMR042W,chrXIII,352603,353136
ARG81,YML099C,chrXIII,74398,77040
ARG82,YDR173C,chrIV,810565,811632
ARH1,YDR376W,chrIV,1226822,1228303
ARI1,YGL157W,chrVII,209006,210049
ARK1,YNL020C,chrXIV,595623,597539
ARL1,YBR164C,chrII,567875,568426
ARL3,YPL051W,chrXVI,459963,460559
ARN1,YHL040C,chrVIII,19088,20971
ARN2,YHL047C,chrVIII,8351,10213
ARO1,YDR127W,chrIV,704484,709250
ARO10,YDR380W,chrIV,1234218,1236125
ARO2,YGL148W,chrVII,226399,227529
ARO3,YDR035W,chrIV,521816,522928
ARO4,YBR249C,chrII,716882,717994
ARO5,YGL117W,chrVII,288512,289309
ARO7,YPR060C,chrXVI,674861,675631
ARO8,YGL202W,chrVII,116059,117561
ARO80,YDR421W,chrIV,1312040,1314892
ARO9,YHR137W,chrVIII,375709,377250
ARP1,YHR129C,chrVIII,362999,364153
ARP10,YDR106W,chrIV,667004,667858
ARP2,YDL029W,chrIV,399340,400638
ARP3,YJR065C,chrX,557809,559158
ARP4,YJL081C,chrX,283802,285271
ARP5,YNL059C,chrXIV,512668,514935
ARP6,YLR085C,chrXII,300673,301989
ARP7,YPR034W,chrXVI,639525,640958
ARP8,YOR141C,chrXV,589942,592587
ARP9,YMR033W,chrXIII,337788,339277
ARR1,YPR199C,chrXVI,938148,939032
ARR2,YPR200C,chrXVI,939279,939671
ARR3,YPR201W,chrXVI,939922,941136
ART10,YLR392C,chrXII,904749,906305
ART5,YGR068C,chrVII,625324,627084
ARV1,YLR242C,chrXII,622918,623883
ARX1,YDR101C,chrIV,655686,657467
ASA1,YPR085C,chrXVI,708497,709828
ASC1,YMR116C,chrXIII,499456,500688
ASE1,YOR058C,chrXV,433688,436345
ASF1,YJL115W,chrX,196287,197126
ASF2,YDL197C,chrIV,104917,106494
ASG1,YIL130W,chrIX,102782,105676
ASG7,YJL170C,chrX,101150,101779
ASH1,YKL185W,chrXI,94499,96265
ASI1,YMR119W,chrXIII,505333,507207
ASI2,YNL159C,chrXIV,338478,339347
ASI3,YNL008C,chrXIV,616211,618241
ASK1,YKL052C,chrXI,339668,340546
ASK10,YGR097W,chrVII,678695,682135
ASM4,YDL088C,chrIV,298417,300003
ASN1,YPR145W,chrXVI,822620,824338
ASN2,YGR124W,chrVII,739944,741662
ASP1,YDR321W,chrIV,1108702,1109847
ASP3-1,YLR155C,chrXII,469317,470405
ASP3-2,YLR157C,chrXII,472969,474057
ASP3-3,YLR158C,chrXII,482549,483637
ASP3-4,YLR160C,chrXII,486201,487289
ASR1,YPR093C,chrXVI,719558,720424
AST1,YBL069W,chrII,90741,92030
AST2,YER101C,chrV,360502,361794
ATC1,YDR184C,chrIV,830629,831513
ATE1,YGL017W,chrVII,459854,461365
ATF1,YOR377W,chrXV,1046226,1047803
ATF2,YGR177C,chrVII,848829,850436
ATG1,YGL180W,chrVII,160065,162758
ATG10,YLL042C,chrXII,52087,52590
ATG11,YPR049C,chrXVI,661137,664673
ATG12,YBR217W,chrII,657832,658392
ATG13,YPR185W,chrXVI,907218,909434
ATG14,YBR128C,chrII,493081,494115
ATG15,YCR068W,chrIII,237214,238776
ATG16,YMR159C,chrXIII,574476,574928
ATG17,YLR423C,chrXII,971917,973170
ATG18,YFR021W,chrVI,194812,196314
ATG19,YOL082W,chrXV,168727,169974
ATG2,YNL242W,chrXIV,191324,196102
ATG20,YDL113C,chrIV,256633,258555
ATG21,YPL100W,chrXVI,361872,363362
ATG22,YCL038C,chrIII,54941,56527
ATG23,YLR431C,chrXII,1000342,1001703
ATG26,YLR189C,chrXII,530797,534393
ATG27,YJL178C,chrX,89282,90097
ATG29,YPL166W,chrXVI,237338,237979
ATG3,YNR007C,chrXIV,639182,640114
ATG31,YDR022C,chrIV,488072,488662
ATG32,YIL146C,chrIX,74184,75773
ATG33,YLR356W,chrXII,840321,840914
ATG34,YOL083W,chrXV,165714,166952
ATG36,YJL185C,chrX,82095,82976
ATG38,YLR211C,chrXII,563792,564531
ATG39,YLR312C,chrXII,757637,758833
ATG4,YNL223W,chrXIV,227370,228854
ATG40,YOR152C,chrXV,617518,618288
ATG41,YPL250C,chrXVI,74309,74719
ATG42,YBR139W,chrII,515664,517190
ATG44,YIL156W-B,chrIX,47690,47973
ATG5,YPL149W,chrXVI,271310,272194
ATG7,YHR171W,chrVIII,445713,447605
ATG8,YBL078C,chrII,80378,80731
ATG9,YDL149W,chrIV,184925,187918
ATH1,YPR026W,chrXVI,615379,619014
ATM1,YMR301C,chrXIII,867555,869627
ATO2,YNR002C,chrXIV,633008,633856
ATO3,YDR384C,chrIV,1241204,1242031
ATP1,YBL099W,chrII,37053,38690
ATP10,YLR393W,chrXII,907079,907918
ATP11,YNL315C,chrXIV,43324,44280
ATP12,YJL180C,chrX,87583,88560
ATP14,YLR295C,chrXII,721999,722373
ATP15,YPL271W,chrXVI,30079,30267
ATP16,YDL004W,chrIV,443029,443511
ATP17,YDR377W,chrIV,1228611,1228916
ATP18,YML081C-A,chrXIII,103983,104162
ATP19,YOL077W-A,chrXV,185438,185644
ATP2,YJR121W,chrX,647607,649142
ATP20,YPR020W,chrXVI,599870,600217
ATP22,YDR350C,chrIV,1176120,1178174
ATP23,YNR020C,chrXIV,667410,668222
ATP25,YMR098C,chrXIII,460771,462609
ATP3,YBR039W,chrII,315575,316510
ATP4,YPL078C,chrXVI,408010,408744
ATP5,YDR298C,chrIV,1058176,1058814
ATP6,Q0085,chrM,28487,29266
ATP7,YKL016C,chrXI,407465,407989
ATP8,Q0080,chrM,27666,27812
ATR1,YML116W,chrXIII,38196,39824
ATR2,YMR279C,chrXIII,824729,826351
ATS1,YAL020C,chrI,113614,114615
ATX1,YNL259C,chrXIV,157644,157865
ATX2,YOR079C,chrXV,473475,474416
AUA1,YFL010W-A,chrVI,114990,115274
AUR1,YKL004W,chrXI,435580,436785
AUS1,YOR011W,chrXV,349679,353863
AVL9,YLR114C,chrXII,374944,377238
AVO1,YOL078W,chrXV,181682,185212
AVO2,YMR068W,chrXIII,406304,407584
AVT1,YJR001W,chrX,436802,438610
AVT2,YEL064C,chrV,29797,31239
AVT3,YKL146W,chrXI,171783,173861
AVT4,YNL101W,chrXIV,434999,437140
AVT5,YBL089W,chrII,49574,50953
AVT6,YER119C,chrV,399496,400842
AVT7,YIL088C,chrIX,197931,199403
AXL1,YPR122W,chrXVI,782045,785671
AXL2,YIL140W,chrIX,85366,87837
AYR1,YIL124W,chrIX,126204,127097
AYT1,YLL063C,chrXII,14648,16072
AZF1,YOR113W,chrXV,534075,536819
AZR1,YGR224W,chrVII,942806,944647
BAG7,YOR134W,chrXV,578564,579793
BAP2,YBR068C,chrII,373861,375690
BAP3,YDR046C,chrIV,548762,550576
BAR1,YIL015W,chrIX,322342,324105
BAS1,YKR099W,chrXI,635851,638286
BAT1,YHR208W,chrVIII,517532,518713
BAT2,YJR148W,chrX,705744,706874
BBC1,YJL020C,chrX,398937,402410
BBP1,YPL255W,chrXVI,67725,68882
BCD1,YHR040W,chrVIII,187924,189024
BCH1,YMR237W,chrXIII,743749,745923
BCH2,YKR027W,chrXI,491364,493661
BCK1,YJL095W,chrX,247255,251691
BCK2,YER167W,chrV,518216,520771
BCP1,YDR361C,chrIV,1195412,1196263
BCS1,YDR375C,chrIV,1225166,1226536
BCY1,YIL033C,chrIX,290419,291669
BDF1,YLR399C,chrXII,919536,921596
BDF2,YDL070W,chrIV,331024,332940
BDH1,YAL060W,chrI,35155,36303
BDH2,YAL061W,chrI,33448,34701
BDP1,YNL039W,chrXIV,555048,556832
BDS1,YOL164W,chrXV,6175,8115
BEM1,YBR200W,chrII,620872,622527
BEM2,YER155C,chrV,476345,482848
BEM3,YPL115C,chrXVI,332100,335486
BEM4,YPL161C,chrXVI,244319,246220
BER1,YLR412W,chrXII,948368,949192
BET1,YIL004C,chrIX,347946,348505
BET2,YPR176C,chrXVI,891101,892078
BET3,YKR068C,chrXI,570328,570909
BET4,YJL031C,chrX,386368,387438
BET5,YML077W,chrXIII,111865,112344
BFA1,YJR053W,chrX,534027,535751
BFR1,YOR198C,chrXV,718653,720065
BFR2,YDR299W,chrIV,1059627,1061231
BGL2,YGR282C,chrVII,1057783,1058724
BI2,Q0110,chrM,36540,38579
BI3,Q0115,chrM,36540,40265
BI4,Q0120,chrM,36540,42251
BIG1,YHR101C,chrVIII,314874,315968
BIK1,YCL029C,chrIII,68599,69921
BIL1,YOR304C-A,chrXV,888520,888750
BIL2,YGL015C,chrVII,465043,465435
BIM1,YER016W,chrV,188277,189311
BIO2,YGR286C,chrVII,1063813,1064940
BIO3,YNR058W,chrXIV,734291,735733
BIO4,YNR057C,chrXIV,733356,734069
BIO5,YNR056C,chrXIV,731618,733303
BIR1,YJR089W,chrX,587718,590582
BIT2,YBR270C,chrII,742761,744398
BIT61,YJL058C,chrX,326242,327873
BLI1,YKL061W,chrXI,325771,326112
BLM10,YFL007W,chrVI,123479,129910
BLS1,YLR408C,chrXII,933885,934253
BMH1,YER177W,chrV,545611,546414
BMH2,YDR099W,chrIV,653607,654428
BMS1,YPL217C,chrXVI,139620,143171
BMT2,YBR141C,chrII,527025,528038
BMT5,YIL096C,chrIX,182117,183127
BMT6,YLR063W,chrXII,264157,265254
BNA1,YJR025C,chrX,471138,471671
BNA2,YJR078W,chrX,578860,580221
BNA3,YJL060W,chrX,323386,324720
BNA4,YBL098W,chrII,39145,40527
BNA5,YLR231C,chrXII,605758,607119
BNA6,YFR047C,chrVI,244279,245166
BNA7,YDR428C,chrIV,1323454,1324239
BNI1,YNL271C,chrXIV,129522,135383
BNI4,YNL233W,chrXIV,211922,214600
BNI5,YNL166C,chrXIV,322219,323565
BNR1,YIL159W,chrIX,41825,45952
BNS1,YGR230W,chrVII,951894,952307
BOI1,YBL085W,chrII,63876,66818
BOI2,YER114C,chrV,390590,393712
BOL1,YAL044W-A,chrI,57518,57850
BOL2,YGL220W,chrVII,82374,82736
BOL3,YAL046C,chrI,57029,57385
BOP2,YLR267W,chrXII,678212,679924
BOP3,YNL042W,chrXIV,548100,549290
BOR1,YNL275W,chrXIV,119268,120998
BOS1,YLR078C,chrXII,285736,286559
BPH1,YCR032W,chrIII,179520,186023
BPL1,YDL141W,chrIV,203039,205111
BPT1,YLL015W,chrXII,116432,121111
BRE1,YDL074C,chrIV,324047,326149
BRE2,YLR015W,chrXII,175227,176744
BRE4,YDL231C,chrIV,38867,42244
BRE5,YNR051C,chrXIV,716780,718327
BRF1,YGR246C,chrVII,982482,984272
BRL1,YHR036W,chrVIII,180345,181760
BRN1,YBL097W,chrII,40831,43095
BRO1,YPL084W,chrXVI,394038,396572
BRP1,YGL007W,chrVII,483260,483637
BRR1,YPR057W,chrXVI,672471,673496
BRR2,YER172C,chrV,529530,536021
BRR6,YGL247W,chrVII,36933,37526
BRX1,YOL077C,chrXV,185848,186723
BSC1,YDL037C,chrIV,384601,385587
BSC3,YLR465C,chrXII,1067045,1067353
BSC4,YNL269W,chrXIV,137699,138094
BSC5,YNR069C,chrXIV,761123,762592
BSC6,YOL137W,chrXV,65621,67114
BSD2,YBR290W,chrII,782591,783556
BSP1,YPR171W,chrXVI,883828,885558
BST1,YFL025C,chrVI,84145,87234
BTN2,YGR142W,chrVII,772454,773686
BTS1,YPL069C,chrXVI,422885,423892
BTT1,YDR252W,chrIV,963412,963861
BUB1,YGR188C,chrVII,872044,875109
BUB2,YMR055C,chrXIII,386101,387021
BUB3,YOR026W,chrXV,379781,380806
BUD13,YGL174W,chrVII,174545,175345
BUD14,YAR014C,chrI,166742,168871
BUD16,YEL029C,chrV,96858,97796
BUD17,YNR027W,chrXIV,674923,675876
BUD19,YJL188C,chrX,76202,76510
BUD2,YKL092C,chrXI,266145,269459
BUD20,YLR074C,chrXII,281956,282456
BUD21,YOR078W,chrXV,472725,473369
BUD22,YMR014W,chrXIII,298868,300427
BUD23,YCR047C,chrIII,210718,211545
BUD25,YER014C-A,chrV,183731,184700
BUD26,YDR241W,chrIV,945151,945438
BUD27,YFL023W,chrVI,90986,93376
BUD28,YLR062C,chrXII,263577,263954
BUD3,YCL014W,chrIII,96281,101191
BUD30,YDL151C,chrIV,183318,183899
BUD31,YCR063W,chrIII,228318,228791
BUD32,YGR262C,chrVII,1016974,1017759
BUD4,YJR092W,chrX,598735,603078
BUD5,YCR038C,chrIII,197621,199549
BUD6,YLR319C,chrXII,769318,771684
BUD7,YOR299W,chrXV,878435,880675
BUD8,YLR353W,chrXII,834352,836163
BUD9,YGR041W,chrVII,577487,579130
BUG1,YDL099W,chrIV,283419,284444
BUL1,YMR275C,chrXIII,815651,818581
BUL2,YML111W,chrXIII,46942,49704
BUR2,YLR226W,chrXII,589354,590541
BUR6,YER159C,chrV,491530,491958
BXI1,YNL305C,chrXIV,58898,59791
BYE1,YKL005C,chrXI,433093,434877
BZZ1,YHR114W,chrVIII,338083,339984
CAB1,YDR531W,chrIV,1498232,1499335
CAB2,YIL083C,chrIX,203556,204653
CAB3,YKL088W,chrXI,275283,276998
CAB4,YGR277C,chrVII,1045644,1046561
CAB5,YDR196C,chrIV,850274,850999
CAC2,YML102W,chrXIII,68294,69700
CAD1,YDR423C,chrIV,1318046,1319275
CAF120,YNL278W,chrXIV,113271,116453
CAF130,YGR134W,chrVII,757770,761138
CAF16,YFL028C,chrVI,79344,80213
CAF20,YOR276W,chrXV,841333,841818
CAF4,YKR036C,chrXI,508702,510633
CAF40,YNL288W,chrXIV,90303,91424
CAJ1,YER048C,chrV,246982,248157
CAK1,YFL029C,chrVI,78055,79161
CAL4,YJR011C,chrX,458641,459426
CAM1,YPL048W,chrXVI,464401,465648
CAN1,YEL063C,chrV,31694,33466
CAP1,YKL007W,chrXI,429302,430108
CAP2,YIL034C,chrIX,289226,290089
CAR1,YPL111W,chrXVI,339944,340945
CAR2,YLR438W,chrXII,1012501,1013775
CAT2,YML042W,chrXIII,192788,194800
CAT5,YOR125C,chrXV,559030,559731
CAT8,YMR280C,chrXIII,827028,831329
CAX4,YGR036C,chrVII,558149,558868
CBC2,YPL178W,chrXVI,212158,212784
CBF1,YJR060W,chrX,548759,549814
CBF2,YGR140W,chrVII,767429,770299
CBF5,YLR175W,chrXII,506134,507585
CBK1,YNL161W,chrXIV,332597,334867
CBP1,YJL209W,chrX,38005,39969
CBP2,YHL038C,chrVIII,23617,25509
CBP3,YPL215W,chrXVI,147416,148423
CBP4,YGR174C,chrVII,845893,846405
CBP6,YBR120C,chrII,480435,480923
CBR1,YIL043C,chrIX,274072,274926
CBS1,YDL069C,chrIV,333121,333810
CBS2,YDR197W,chrIV,851228,852397
CBT1,YKL208W,chrXI,47157,47972
CCA1,YER168C,chrV,521029,522669
CCC1,YLR220W,chrXII,576825,577793
CCC2,YDR270W,chrIV,1005675,1008689
CCE1,YKL011C,chrXI,420155,421216
CCH1,YGR217W,chrVII,924696,930815
CCL1,YPR025C,chrXVI,613377,614558
CCM1,YGR150C,chrVII,790459,793053
CCP1,YKR066C,chrXI,566113,567198
CCR4,YAL021C,chrI,110846,113359
CCS1,YMR038C,chrXIII,347511,348260
CCT2,YIL142W,chrIX,83302,84885
CCT3,YJL014W,chrX,407558,409162
CCT4,YDL143W,chrIV,199996,201582
CCT5,YJR064W,chrX,555914,557602
CCT6,YDR188W,chrIV,836421,838061
CCT7,YJL111W,chrX,207877,209529
CCT8,YJL008C,chrX,419957,421663
CCW12,YLR110C,chrXII,369697,370098
CCW14,YLR390W-A,chrXII,903724,904440
CCW22,YDR134C,chrIV,721071,721481
CCZ1,YBR131W,chrII,497163,499277
CDA1,YLR307W,chrXII,745620,746525
CDA2,YLR308W,chrXII,747937,748875
CDC1,YDR182W,chrIV,827582,829057
CDC10,YCR002C,chrIII,117380,118348
CDC11,YJR076C,chrX,575354,576601
CDC12,YHR107C,chrVIII,326813,328036
CDC123,YLR215C,chrXII,570776,571858
CDC13,YDL220C,chrIV,62244,65018
CDC14,YFR028C,chrVI,208413,210068
CDC15,YAR019C,chrI,172211,175135
CDC16,YKL022C,chrXI,394726,397248
CDC19,YAL038W,chrI,71786,73288
CDC20,YGL116W,chrVII,289809,291641
CDC21,YOR074C,chrXV,466675,467589
CDC23,YHR166C,chrVIII,437170,439050
CDC24,YAL041W,chrI,62840,65404
CDC25,YLR310C,chrXII,752224,756993
CDC26,YFR036W,chrVI,226963,227337
CDC27,YBL084C,chrII,67169,69445
CDC28,YBR160W,chrII,560078,560974
CDC3,YLR314C,chrXII,762575,764137
CDC31,YOR257W,chrXV,811008,811493
CDC33,YOL139C,chrXV,60383,61024
CDC34,YDR054C,chrIV,561440,562327
