REGION,GENE,SGDID,CHROM,START,STOP,STRAND,PROTEIN_LENGTH,GENE_NAME,DESCRIPTION,SUMMARY,UniprotID,UniparcID
YAR023C,DFP1,S000000074,chrI,179281,179820,-1,179,DUP240 Family Protein,Putative integral membrane protein,Protein whose biological role and cellular location are unknown,D6VPM8,UPI000034E95C
YAR029W,DFP2,S000000077,chrI,186321,186545,1,74,DUP240 Family Protein,Member of DUP240 gene family but contains no transmembrane domains,Protein whose biological role is unknown; localizes to the cytoplasm,P39549,UPI000013A0EB
YAL026C,DRS2,S000000024,chrI,95630,99697,-1,1355,Deficiency of Ribosomal Subunits,Trans-golgi network aminophospholipid translocase (flippase),"Subunit of the Cdc50p-Drs2p phospolipid flippase complex; maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; localizes to the trans-Golgi network",P39524,UPI0001F7BD26
YAL059W,ECM1,S000000055,chrI,36509,37147,1,212,ExtraCellular Mutant,Pre-ribosomal factor involved in 60S ribosomal protein subunit export,Subunit of preribosome involved in nuclear export of large ribosomal subunit; localizes to nucleolus,P39715,UPI0000254505
YAL003W,EFB1,S000000003,chrI,142174,143160,1,206,Elongation Factor Beta,Translation elongation factor 1 beta,"Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2",P32471,UPI000004F8CA
YAR002C-A,ERP1,S000002129,chrI,154065,154724,-1,219,Emp24p/Erv25p Related Protein,Member of the p24 family involved in ER to Golgi transport,COPII vesicle protein involved in endoplasmic reticulum (ER)-to-Golgi vesicle-mediated transport and protein retention in ER lumen; also localizes to mitochondria,Q05359,UPI0000052F10
YAL007C,ERP2,S000000005,chrI,137698,138345,-1,215,Emp24p/Erv25p Related Protein,Member of the p24 family involved in ER to Golgi transport,Component of the COP II vesicle that is involved in ER to Golgi vesicle mediated transport of Gas1p and retention of Kar2 (BIP) in the ER,P39704,UPI0000052F11
YAL042W,ERV46,S000000040,chrI,61316,62563,1,415,ER Vesicle,Protein localized to COPII-coated vesicles,COPII-coated vesicle subunit involved in endoplasmic reticulum to Golgi vesicle-mediated transport; integral to Golgi and endoplasmic reticulum membranes,P39727,UPI0000053252
YAL053W,FLC2,S000000049,chrI,45899,48250,1,783,FLavin Carrier,Putative calcium channel involved in calcium release under hypotonic s,"FAD transmembrane transporter involved in hypotonic response, calcium homeostasis, sphingolipid biosynthesis, and cell wall formation; localizes to cytoplasm and endoplasmic reticulum",P39719,UPI000158F16F
YAR050W,FLO1,S000000084,chrI,203403,208016,1,1537,FLOcculation,Lectin-like protein involved in flocculation,"Mannose-binding protein involved in flocculation via cell wall protein-carbohydrate interaction and co-flocculation with other yeasts; also involved in the cellular response to heat, hydrogen peroxide, and ethanol; localizes to the cell wall",P32768,UPI00001682A7
YAL063C,FLO9,S000000059,chrI,24000,27968,-1,1322,FLOcculation,Lectin-like protein with similarity to Flo1p,Putative mannose-binding protein of the cell wall involved in flocculation and cell-surface adhesion,P39712,UPI000013A096
YAL028W,FRT2,S000000026,chrI,92900,94486,1,528,Functionally Related to TCP1,Tail-anchored ER membrane protein of unknown function,Endoplasmic reticulum protein involved in responses to basic pH and salt stress,P39734,UPI000013A020
YAL035W,FUN12,S000000033,chrI,76427,79435,1,1002,Function Unknown Now,Translation initiation factor eIF5B,Protein and ribosome binding GTPase involved in the formation of the cytoplasmic translation initiation complex and maturation of SSU-rRNA; involved in regulation of translational initiation; localizes to the cytosolic small ribosomal subunit and eukaryotic 48S pre initiation complex,P39730,UPI0000052E3F
YAL008W,FUN14,S000000006,chrI,136914,137510,1,198,Function Unknown Now,Integral mitochondrial outer membrane (MOM) protein,Integral component of the mitochondrial outer membrane involved in mitochondrial organization and phopholipid homeostasis,P18411,UPI0000139FF2
YAL034C,FUN19,S000002134,chrI,80710,81951,-1,413,Function Unknown Now,Non-essential protein of unknown function,Protein whose biological role and cellular location are unknown,P28003,UPI00001D475D
YAL022C,FUN26,S000000020,chrI,108877,110430,-1,517,Function Unknown Now,"High affinity, broad selectivity, nucleoside/nucleobase transporter",Nicotinamide riboside transmembrane transporter; localizes to the vacuole membrane,P31381,UPI000012AD45
YAL019W,FUN30,S000000017,chrI,114919,118314,1,1131,Function Unknown Now,Snf2p family member with ATP-dependent chromatin remodeling activity,"DNA-dependent ATPase that binds chromatin; involved in DNA double-strand break processing and heterochromatin maintenence by chromatin silencing at telomere, silent mating-type cassette, rDNA; localizes to centromeric regions of chromosomes",P31380,UPI0000052EBB
YAL044C,GCV3,S000000042,chrI,57950,58462,-1,170,GlyCine cleaVage,H subunit of the mitochondrial glycine decarboxylase complex,Subunit of mitochondrial glycine dehydrogenase complex involved in protein lipoylation and one-carbon metabolism,P39726,UPI000158F263
YAL062W,GDH3,S000000058,chrI,31567,32940,1,457,Glutamate DeHydrogenase,NADP(+)-dependent glutamate dehydrogenase,Glutamate dehydrogenase involved in glutamate biosynthesis; localizes to both nucleus and mitochondria,P39708,UPI000012930B
YAL048C,GEM1,S000000046,chrI,52801,54789,-1,662,GTPase EF-hand protein of Mitochondria,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex","Calcium-binding GTPase subunit of ERMES complex; involved in phospholipid homeostasis, mitochondrion-endoplasmic reticulum membrane tethering, mitochondrial organization and inheritance, and heme transport; localizes to outer mitochondrial membrane",P39722,UPI000013A054
YAL031C,GIP4,S000000029,chrI,84749,87031,-1,760,Glc7 Interacting Protein,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p,Cytoplasmic protein phosphatase 1 regulator involved in chromosome segregation,P39732,UPI000013A02E
YAL056W,GPB2,S000000052,chrI,39259,41901,1,880,,Multistep regulator of cAMP-PKA signaling,"GAP-binding cAMP-dependent protein kinase inhibitor involved in glucose signaling, downregulation of Ras protein signal transduction, pseudohyphal growth, and ascospore formation; localizes to plasma membrane, cytoplasm, and mitochondria",P39717,UPI0001F7BD20
YAR073W,IMD1,S000000095,chrI,227742,228953,1,403,IMP Dehydrogenase,Nonfunctional protein with homology to IMP dehydrogenase,Non-functional IMP dehydrogenase,P39567,UPI0000036C1E
YAR018C,KIN3,S000000071,chrI,170396,171703,-1,435,protein KINase,Nonessential serine/threonine protein kinase,Protein kinase involved in chromosome segregation,P22209,UPI000005311D
YAR028W,KTD1,S000000076,chrI,184892,185596,1,234,Killer Toxin Defens,Killer toxin defense factor,Protein whose biological role is unknown; localized to the vacuole membrane in large scale studies,P39548,UPI000013A0EA
YAL018C,LDS1,S000000016,chrI,118564,119541,-1,325,Lipid Droplets in Sporulation,Protein Involved in spore wall assembly,"Protein involved in ascospore wall assembly; localizes to lipid droplets, prospore membrane, and ascospore wall",P31379,UPI000013A008
YAL024C,LTE1,S000000022,chrI,101565,105872,-1,1435,Low Temperature Essential,Protein similar to GDP/GTP exchange factors,"Putative guanyl-nucleotide exchange factor based on sequence similarity but without detectable activity; involved in vesicle-mediated transport, spindle orientation and mitotic exit; localizes to the bud",P07866,UPI00000531C2
YAL025C,MAK16,S000000023,chrI,100225,101145,-1,306,MAintenance of Killer,Essential nuclear protein,Nucleolar protein involved in rRNA maturation and large ribosomal subunit biogenesis; localizes to large subunit precursor of preribosome,P10962,UPI000158F447
YAL010C,MDM10,S000000008,chrI,134184,135665,-1,493,Mitochondrial Distribution and Morphology,Subunit of both the ERMES and the SAM complex,"Protein with a role in mitochondrion organization, localization, tethering to the endoplasmic reticulum (ER), and assembly of mitochondrial outer membrane translocase complex with Tom22p; found in ERMES and mitochondrial sorting and assembly machinery complexes",P18409,UPI000012EDFB
YAR033W,MST28,S000000079,chrI,188107,188811,1,234,Multicopy suppressor of Sec Twenty one,"Putative integral membrane protein, involved in vesicle formation",Membrane protein involved in vesicle organization; localizes to endoplasmic reticulum and Golgi apparatus,P39552,UPI000013A101
YAL034W-A,MTW1,S000000032,chrI,79718,80587,1,289,Mis TWelve-like,Essential component of the MIND kinetochore complex,Subunit of nuclear MIND complex involved in chromosome segregation; helps recruit outer kinetochore subunits that will bind to microtubules; localizes to spindle pole,P39731,UPI000012F885
YAL029C,MYO4,S000000027,chrI,87855,92270,-1,1471,MYOsin,Type V myosin motor involved in actin-based transport of cargos,"Actin filament-binding microfilament motor involved in mRNA localization, endoplasmic reticulum inheritance, and mating type switching; localizes to bud tip and mitochondrion",P32492,UPI0000052FEC
YAL015C,NTG1,S000000013,chrI,126903,128102,-1,399,eNdonuclease Three-like Glycosylase,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase,"Oxidized nucleobase lesion DNA N-glycosylase and endonuclease involved in base-excision repair, upregulation of mitochondrial DNA replication, and oxidative stress response; localizes to nucleus and mitochondrion",P31378,UPI0000130584
YAR002W,NUP60,S000000063,chrI,152257,153876,1,539,NUclear Pore,FG-nucleoporin component of central core of the nuclear pore complex,"Phospholipid-binding protein of the nuclear pore; involved in tethering of genes and telomeres to nuclear periphery, and export of mRNAs and protein out of the nucleus; part of nuclear basket and central transport channel of nuclear pore",P39705,UPI00000530F9
YAL051W,OAF1,S000000048,chrI,48564,51707,1,1047,Oleate-Activated transcription Factor,Oleate-activated transcription factor,"Subunit of the heterodimeric Pip2-Oaf1 complex, which binds to promoter proximal elements upstream of genes involved in peroxisomal proliferation, functioning as a transcriptional activator in the presence of oleate; regulates chromatin silencing at telomeres",P39720,UPI0001F7BD1F
YAR020C,PAU7,S000000073,chrI,176856,177023,-1,55,seriPAUperin family,Member of the seripauperin multigene family,Protein whose biological role and cellular location are unknown,P39545,UPI0000131364
YAL068C,PAU8,S000002142,chrI,1807,2169,-1,120,seriPAUperin,Protein of unknown function,Protein of unknown function involved in transcription regulation and ascospore formation,P0CE92,UPI00000005FB
YAL055W,PEX22,S000000051,chrI,42177,42719,1,180,PEroXisome related,Putative peroxisomal membrane protein,"Protein that binds to Pex4p and activates its E2 ubiquitin-conjugating activity, promoting recycling of the peroxisomal import receptor Pex5p; also stimulates Pex4p and autoubiquitination activity; localized to the peroxisomal membrane",P39718,UPI000013A073
YAR071W,PHO11,S000000094,chrI,225460,226863,1,467,PHOsphate metabolism,One of three repressible acid phosphatases,An acid phosphatase that dephosphorylates 1-naphthyl dihydrogen phosphate in the absence of potassium dihydrogen phosphate; involved in phosphate-containing compound metabolism in extracellular regions,P35842,UPI0000131FD1
YAL023C,PMT2,S000000021,chrI,106272,108551,-1,759,Protein O-MannosylTransferase,Protein O-mannosyltransferase of the ER membrane,"Dolichol phosphomannose-protein mannosyltransferase involved in protein export from endoplasmic reticulum (ER), protein O-linked glycosylation, ER-associated misfolded protein degradation, and regulation of the ER unfolded protein response",P31382,UPI000000D54A
YAL033W,POP5,S000000031,chrI,82706,83227,1,173,Processing Of Precursor RNAs,Subunit of both RNase MRP and nuclear RNase P,"RNA-binding protein subunit of both ribonuclease MRP complex and nucleolar ribonuclease P complex; involved in rRNA processing, tRNA processing, intronic box C/D snoRNA processing, and endonucleolytic cleavage-dependent mRNA decay",P28005,UPI0000131F39
YAR031W,PRM9,S000000078,chrI,186836,187732,1,298,Pheromone-Regulated Membrane protein,Pheromone-regulated protein,Protein whose biological role is unknown; localized to the endoplasmic reticulum and plasma membrane,P39551,UPI000013A108
YAL032C,PRP45,S000000030,chrI,83335,84474,-1,379,Pre-mRNA Processing,Protein required for pre-mRNA splicing,Spliceosome-associating protein essential to pre-messenger RNA (mRNA) splicing; contributes to formation of catalytic spliceosome for second transesterification step,P28004,UPI00000531F1
YAL017W,PSK1,S000000015,chrI,120225,124295,1,1356,Pas domain-containing Serine/threonine protein Kinase,PAS domain-containing serine/threonine protein kinase,"Cytoplasmic protein serine/threonine kinase that regulates glycogen biosynthesis and 1,6-beta-glucan biosynthesis",P31374,UPI0001F7BD25
YAL043C,PTA1,S000000041,chrI,58695,61052,-1,785,Pre-Trna Accumulation,Subunit of holo-CPF,"Subunit of mRNA cleavage and polyadenylation specificity factor (CPF) complex that binds to canonical AAUAAA hexamer and to U-rich upstream sequence elements on pre-mRNA to stimulate transcription; also involved in pre-mRNA cleavage required for polyadenylation, poly(A) coupled transcription termination, and tRNA processing",Q01329,UPI0000052DDD
YAL036C,RBG1,S000000034,chrI,75043,76152,-1,369,RiBosome interacting Gtpase,Member of the DRG family of GTP-binding proteins,Cytoplasmic GTP-binding protein involved in translation and up-regulation of amino acid starvation response; localizes to polysomes and stress granules,P39729,UPI000005318D
YAR007C,RFA1,S000000065,chrI,156754,158619,-1,621,Replication Factor A,Subunit of heterotrimeric Replication Protein A (RPA),"DNA-binding protein involved in DNA replication, DNA repair, recombination, and telomere maintenance; localizes to nuclear chromosomes and telomeres",P22336,UPI0000052F96
YAL027W,SAW1,S000000025,chrI,94687,95472,1,261,Single-strand Annealing Weakened,5'- and 3'-flap DNA binding protein,Nuclear protein that binds 5' and 3' single-stranded ends in DNA; involved in double-strand break repair via single-strand annealing,P39735,UPI0000052FCA
YAR008W,SEN34,S000000066,chrI,158966,159793,1,275,Splicing ENdonuclease,Subunit of the tRNA splicing endonuclease,Splicing endonuclease subunit of tRNA-intron endonuclease complex involved in splice site recognition and cleavage; localizes to outer mitochondrial membrane,P39707,UPI0000135747
YAL067C,SEO1,S000000062,chrI,7235,9016,-1,593,Suppressor of sulfoxyde EthiOnine resistance,Putative permease,Putative transmembrane transporter based on sequence similarity to transmembrane transporter gene families; localizes to cell periphery,P39709,UPI0000135857
YAL030W,SNC1,S000000028,chrI,87286,87752,1,117,Suppressor of the Null allele of CAP,Vesicle membrane receptor protein (v-SNARE),"SNAP receptor involved in Golgi to plasma membrane transport, vesicle fusion, endocytosis, and exocytosis; localizes to the endosome, trans-Golgi network, transport vesicle membrane, plasma membrane, and bud neck",P31109,UPI0000135B22
YAL047C,SPC72,S000000045,chrI,54989,56857,-1,622,Spindle Pole Component,Gamma-tubulin small complex (gamma-TuSC) receptor,"Structural constituent of cytoskeleton; involved in microtubule nucleation,nuclear migration along microtubule, mitotic spindle elongation, mitotic spindle orientation checkpoint and mitotic sister chromatid segregation; localizes to outer plaque of spindle pole body",P39723,UPI000042B472
YAL009W,SPO7,S000000007,chrI,135854,136633,1,259,SPOrulation,Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme,Subunit of the membrane Nem1-Spo7 phosphoprotein phosphatase complex involved in nuclear envelope organization and regulation of phospholipid biosynthesis; positive regulator of phosphatidate phosphatase,P18410,UPI0000052E74
YAL005C,SSA1,S000000004,chrI,139503,141431,-1,642,Stress-Seventy subfamily A,ATPase involved in protein folding and NLS-directed nuclear transport,"ATPase involved in protein folding, nuclear import, stress granule disassembly, and clathrin coat disassembly; localizes to many places in the cell, including the cell wall, vacuolar and plasma membranes, and the nucleus",P10591,UPI0000168E53
YAL011W,SWC3,S000000009,chrI,132199,134076,1,625,SWr Complex,Protein of unknown function,Subunit of Swr1 chromatin remodeling complex involved in histone exchange and endoplasmic reticulum organization; localizes to nucleus and mitochondria,P31376,UPI00001D475E
YAR003W,SWD1,S000000064,chrI,155005,156285,1,426,"Set1c, WD40 repeat protein",Subunit of the COMPASS (Set1C) complex,Histone H3 lysine 4-specific methyltransferase subunit of Set1C/COMPASS complex; involved in telomeric silencing and transcription regulation,P39706,UPI0000052FF1
YAR042W,SWH1,S000000081,chrI,192619,196185,1,1188,,Protein similar to mammalian oxysterol-binding protein,"Sterol transporter involved in endocytosis, exocytosis, and maintenance of cell polarity; localizes to various sites throughout the endomembrane system such as the nuclear envelope, nucleus-vacuolar junction, endoplasmic reticulum, Golgi, and early endosomes",P35845,UPI00001967B7
YAL014C,SYN8,S000000012,chrI,128252,129019,-1,255,SYNtaxin,Endosomal SNARE related to mammalian syntaxin 8,Endosomal SNAP receptor involved in Golgi to vacuole transport,P31377,UPI0000006611
YAL064C-A,TDA8,S000002140,chrI,13363,13743,-1,126,Topoisomerase I Damage Affected,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q6B2U8,UPI00001682A1
YAL001C,TFC3,S000000001,chrI,147594,151166,-1,1160,Transcription Factor class C,Subunit of RNA polymerase III transcription initiation factor complex,Subunit of the transcription factor TFIIIC complex; involved in recruiting TFIIIB to chromatin for transcription of RNA genes by RNA polymerase III,P34111,UPI0000052E26
YAL016W,TPD3,S000000014,chrI,124879,126786,1,635,tRNA Processing Deficient,Regulatory subunit A of the heterotrimeric PP2A complex,"Subunit of protein phosphatase type 2A complex; involved in translation regulation and mitotic spindle assembly checkpoint; localizes throughout cell to nucleus, cytoplasm, spindle pole body, bud neck, bud neck, and shmoo tip",P31383,UPI00000531BD
YAR027W,UIP3,S000000075,chrI,183770,184477,1,235,Ulp1 Interacting Protein,Putative integral membrane protein of unknown function,Protein whose biological role is unknown; localized to the nuclear envelope in large scale studies,P39547,UPI000013A0E8
YAL002W,VPS8,S000000002,chrI,143707,147531,1,1274,Vacuolar Protein Sorting,Membrane-binding component of the CORVET complex,A GTPase binding protein anchor that is subunit of the CORVET endosomal tethering complex; involved in protein targeting during late endosome to vacuole transport,P39702,UPI0000237E52
YAR035W,YAT1,S000000080,chrI,190193,192256,1,687,,Outer mitochondrial carnitine acetyltransferase,Putative mitochondrial carnitine O-palmitoyltransferase involved in carnitine metabolism,P80235,UPI00001682A6
YAL004W,YAL004W,S000002136,chrI,140760,141407,1,215,,Dubious open reading frame,,P39703,UPI00015B3D40
YAL016C-A,YAL016C-A,S000028728,chrI,124755,125069,-1,104,,Dubious open reading frame,,A0A023PYC6,UPI000176C745
YAL016C-B,YAL016C-B,S000028528,chrI,124307,124492,-1,61,,Dubious open reading frame,,P0C1V3,UPI00001B6593
YAL019W-A,YAL019W-A,S000028729,chrI,114250,114819,1,189,,Dubious open reading frame,,A0A023PXA5,UPI000176C748
YAL026C-A,YAL026C-A,S000028730,chrI,95386,95823,-1,145,,Dubious open reading frame,,A0A023PXH4,UPI000176C747
YAL031W-A,YAL031W-A,S000028731,chrI,84669,84977,1,102,,Dubious open reading frame,,A0A023PZ94,UPI000176C743
YAL034C-B,YAL034C-B,S000002137,chrI,79489,79842,-1,117,,Dubious open reading frame,,O13515,UPI0000069814
YAL037C-A,YAL037C-A,S000028732,chrI,73426,73518,-1,30,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q3E741,UPI000017B31A
YAL037C-B,YAL037C-B,S000028592,chrI,72326,73300,-1,324,,Dubious open reading frame,,Q8TGR8,UPI000006B12D
YAL037W,YAL037W,S000000035,chrI,74020,74823,1,267,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P39728,UPI000013A035
YAL042C-A,YAL042C-A,S000002138,chrI,61231,61608,-1,125,,Dubious open reading frame,,O13514,UPI000006A661
YAL045C,YAL045C,S000000043,chrI,57488,57796,-1,102,,Dubious open reading frame,,P39725,UPI000013A04E
YAL047W-A,YAL047W-A,S000028733,chrI,54584,54913,1,109,,Dubious open reading frame,,A0A023PZE2,UPI000176C744
YAL056C-A,YAL056C-A,S000002139,chrI,38696,39046,-1,116,,Dubious open reading frame,,O13513,UPI000006A765
YAL059C-A,YAL059C-A,S000028734,chrI,36496,36918,-1,140,,Dubious open reading frame,,A0A023PYD0,UPI000216F96E
YAL063C-A,YAL063C-A,S000028813,chrI,22395,22685,-1,96,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q3E791,UPI00001B6592
YAL064W,YAL064W,S000000060,chrI,21566,21850,1,94,,Protein of unknown function,Protein whose biological role and cellular location are unknown,P39711,UPI0001F7BD21
YAL064W-B,YAL064W-B,S000002141,chrI,12046,12426,1,126,,Fungal-specific protein of unknown function,Predicted integral membrane protein whose biological role is unknown,O13512,UPI000006AE76
YAL065C,YAL065C,S000001817,chrI,11565,11951,-1,128,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,O13511,UPI000006B2B6
YAL066W,YAL066W,S000000061,chrI,10091,10399,1,102,,Dubious open reading frame,,P39710,UPI000013A099
YAL067W-A,YAL067W-A,S000028593,chrI,2480,2707,1,75,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q8TGK6,UPI000006B1EA
YAL068W-A,YAL068W-A,S000028594,chrI,538,792,1,84,,Dubious open reading frame,,Q8TGK7,UPI0000069FCB
YAL069W,YAL069W,S000002143,chrI,335,649,1,104,,Dubious open reading frame,,O13588,UPI0000069FA4
YAR009C,YAR009C,S000000067,chrI,160597,164187,-1,1196,,Retrotransposon TYA Gag and TYB Pol genes,,O13527,UPI000006AADF
YAR010C,YAR010C,S000000068,chrI,164544,165866,-1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,,P0CX57,UPI000006BDA8
YAR019W-A,YAR019W-A,S000028735,chrI,174998,175330,1,110,,Dubious open reading frame,,A0A023PXB0,UPI000216F96B
YAR030C,YAR030C,S000001821,chrI,186512,186853,-1,113,,Dubious open reading frame,,P39550,UPI000013A0FC
YAR035C-A,YAR035C-A,S000028595,chrI,192337,192417,-1,26,,Putative protein of unknown function,Mitochondrial protein whose biological role is unknown,Q8TGV0,UPI000006C429
YAR043C,YAR043C,S000120182,chrI,192928,193248,-1,106,,Deleted ORF,,,N/A
YAR044W,YAR044W,S000000082,chrI,193600,196179,1,859,,Merged open reading frame,,,N/A
YAR047C,YAR047C,S000000083,chrI,201467,201787,-1,106,,Dubious open reading frame,,P39557,UPI000013A110
YAR052C,YAR052C,S000120184,chrI,207122,207502,-1,126,,Deleted ORF,,,N/A
YAR053W,YAR053W,S000000085,chrI,208367,208663,1,98,,Dubious open reading frame,,P39559,UPI000013A116
YAR060C,YAR060C,S000000086,chrI,217157,217492,-1,111,,Dubious open reading frame,,P0CX88,UPI000013B154
YAR061W,YAR061W,S000000087,chrI,218140,219145,1,334,,Pseudogenic fragment with similarity to flocculins,Protein whose biological role and cellular location are unknown,P0CX90,UPI0000000F39
YAR062W,YAR062W,S000000088,chrI,218549,219145,1,198,,Pseudogenic fragment with similarity to flocculins,,P0CI66,UPI000013B155
YAR064W,YAR064W,S000000089,chrI,220198,220497,1,99,,Pseudogenic fragment with similarity to flocculins,Protein whose biological role and cellular location are unknown,P39563,UPI000013A124
YAR066W,YAR066W,S000002144,chrI,221049,221660,1,203,,Putative GPI protein,Protein whose biological role and cellular location are unknown,P0CX18,UPI00000003DE
YAR068W,YAR068W,S000000091,chrI,222406,222891,1,161,,Fungal-specific protein of unknown function,Protein whose biological role and cellular location are unknown,P39564,UPI000013A127
YAR069C,YAR069C,S000000092,chrI,224011,224304,-1,97,,Dubious open reading frame,,P0CX92,UPI0000000F3A
