Database,UniparcID,Description,Start,End
PROSITE,UPI00000531C2,"Ras-like guanine nucleotide exchange factor, N-terminal",25,157
PROSITE,UPI00000531C2,Ras guanine-nucleotide exchange factors catalytic domain,1194,1434
PROSITE,UPI00001682A4,"SAICAR synthetase, conserved site",213,221
PROSITE,UPI00001682A4,"SAICAR synthetase, conserved site",114,128
PROSITE,UPI00000005FB,Stress-induced protein SRP1/TIP1,96,102
PROSITE,UPI0000131FD1,Histidine acid phosphatase active site,331,347
PROSITE,UPI0000131FD1,Histidine acid phosphatase active site,66,80
PROSITE,UPI000000D54A,MIR motif,339,394
PROSITE,UPI00000531BD,"HEAT, type 2",400,438
PROSITE,UPI0001F7BD1F,Zn(2)Cys(6) fungal-type DNA-binding domain,65,93
PROSITE,UPI0001F7BD1F,Zn(2)Cys(6) fungal-type DNA-binding domain,65,95
PROSITE,UPI0001F7BD25,"Serine/threonine-protein kinase, active site",1226,1238
PROSITE,UPI0001F7BD25,Protein kinase domain,1096,1354
PROSITE,UPI0000168E53,"Heat shock protein 70, conserved site",331,345
PROSITE,UPI0000168E53,"Heat shock protein 70, conserved site",7,14
PROSITE,UPI0000168E53,"Heat shock protein 70, conserved site",194,207
PROSITE,UPI00001682A1,PA14/GLEYA domain,1,110
PROSITE,UPI0000006611,Target SNARE coiled-coil homology domain,164,202
PROSITE,UPI0000052FF1,,68,102
PROSITE,UPI0000052FF1,WD40 repeat,68,109
PROSITE,UPI0000052FF1,"WD40 repeat, conserved site",87,101
PROSITE,UPI00001967B7,,96,118
PROSITE,UPI00001967B7,Ankyrin repeat,96,118
PROSITE,UPI00001967B7,Pleckstrin homology domain,281,379
PROSITE,UPI00001967B7,"Oxysterol-binding protein, conserved site",898,908
PROSITE,UPI0000237E52,"Clathrin, heavy chain/VPS, 7-fold repeat",507,665
PROSITE,UPI0000237E52,"Zinc finger, RING-type",1198,1266
PROSITE,UPI00001682A6,Acyltransferase ChoActase/COT/CPT,325,351
PROSITE,UPI00001682A6,Acyltransferase ChoActase/COT/CPT,4,19
PROSITE,UPI000013B155,PA14/GLEYA domain,1,110
PROSITE,UPI0000125588,"Alcohol dehydrogenase, zinc-type, conserved site",69,83
PROSITE,UPI000005318F,mRNA (guanine-N(7))-methyltransferase domain,141,424
PROSITE,UPI000012DC5A,"Serine/threonine-protein kinase, active site",177,189
PROSITE,UPI000012DC5A,Protein kinase domain,35,319
PROSITE,UPI0000125620,Mitochondrial substrate/solute carrier,214,300
PROSITE,UPI000176C744,,1,35
PROSITE,UPI0000048D4E,"Aldo/keto reductase, conserved site",177,194
PROSITE,UPI0000048D4E,"Aldo/keto reductase, conserved site",283,298
PROSITE,UPI0000048D4E,"Aldo/keto reductase, conserved site",61,78
PROSITE,UPI000011269E,,12,178
PROSITE,UPI000004F8DC,"Serine carboxypeptidases, histidine active site",464,481
PROSITE,UPI000004F8DC,"Serine carboxypeptidase, serine active site",215,222
PROSITE,UPI0001F7BD32,"Amino acid permease, conserved site",124,155
PROSITE,UPI00001688DB,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site",400,409
PROSITE,UPI0000052F50,PB1-like domain,478,551
PROSITE,UPI0000052F50,Phox homology,278,404
PROSITE,UPI0000052F50,SH3 domain,155,217
PROSITE,UPI000006AADF,"Integrase, catalytic core",101,276
PROSITE,UPI000004F8D0,Sterile alpha motif domain,228,292
PROSITE,UPI000004F8D0,Pleckstrin homology domain,776,895
PROSITE,UPI000004F8D0,SH3 domain,13,77
PROSITE,UPI0000052F53,"Serine/threonine-protein kinase, active site",132,144
PROSITE,UPI0000052F53,"Protein kinase, ATP binding site",14,40
PROSITE,UPI0000052F53,Protein kinase domain,8,295
PROSITE,UPI0000127836,Protein kinase domain,15,281
PROSITE,UPI0000127836,"Serine/threonine-protein kinase, active site",138,150
PROSITE,UPI0000127836,"Protein kinase, ATP binding site",21,45
PROSITE,UPI00000001D7,EF-hand domain,81,116
PROSITE,UPI00000001D7,"EF-Hand 1, calcium-binding site",57,69
PROSITE,UPI00001682B1,,10,54
PROSITE,UPI00001256F8,"Amino acid permease, conserved site",117,148
PROSITE,UPI00001682BC,"EF-Hand 1, calcium-binding site",95,107
PROSITE,UPI00001682C9,Mitochondrial substrate/solute carrier,109,199
PROSITE,UPI000004F8DA,,330,361
PROSITE,UPI000004F8DA,,80,112
PROSITE,UPI000004F8DA,Tetratricopeptide repeat,224,257
PROSITE,UPI000013A1FF,Major facilitator superfamily domain,112,568
PROSITE,UPI0001B23525,Mu homology domain,211,482
PROSITE,UPI0001B23525,"Clathrin adaptor, mu subunit, conserved site",199,220
PROSITE,UPI0001B23525,"Clathrin adaptor, mu subunit, conserved site",288,302
PROSITE,UPI0000125CA3,AP endonuclease 1,17,363
PROSITE,UPI0000125CA3,"Zinc finger, GRF-type",476,520
PROSITE,UPI0000125CA3,"AP endonuclease 1, conserved site",322,333
PROSITE,UPI0000053246,EH domain,135,227
PROSITE,UPI0000053246,Ubiquitin-associated domain,1338,1380
PROSITE,UPI0000053246,EF-hand domain,47,82
PROSITE,UPI0000053246,"EF-Hand 1, calcium-binding site",180,192
PROSITE,UPI000004F8D5,"ATP synthase, F1 complex, gamma subunit conserved site",296,309
PROSITE,UPI000013A1F2,"AB hydrolase 4, conserved site",354,395
PROSITE,UPI000006ADA1,"AMP-binding, conserved site",254,265
PROSITE,UPI0001F7BD2B,Tetratricopeptide repeat,608,641
PROSITE,UPI0001F7BD2B,,608,639
PROSITE,UPI000012AA32,Major facilitator superfamily domain,105,542
PROSITE,UPI0000127457,Phosphatidate cytidylyltransferase,351,377
PROSITE,UPI000012AD91,"Serine/threonine-protein kinase, active site",133,145
PROSITE,UPI000012AD91,"Protein kinase, ATP binding site",19,43
PROSITE,UPI000012AD91,"Mitogen-activated protein (MAP) kinase, conserved site",47,149
PROSITE,UPI000012AD91,Protein kinase domain,13,309
PROSITE,UPI0000052F54,"Cyclin-dependent kinase, regulatory subunit",30,48
PROSITE,UPI0000052F54,"Cyclin-dependent kinase, regulatory subunit",91,101
PROSITE,UPI0000127EF5,"Polyprenyl synthetase, conserved site",356,368
PROSITE,UPI0000127EF5,"Polyprenyl synthetase, conserved site",190,204
PROSITE,UPI000013A3C1,,1,27
PROSITE,UPI0000030763,"Transcription factor, NFYB/HAP3, conserved site",72,88
PROSITE,UPI000012BBF6,Glutathione peroxidase active site,25,40
PROSITE,UPI000012BBF6,Glutathione peroxidase,1,162
PROSITE,UPI000012BBF6,Glutathione peroxidase conserved site,61,68
PROSITE,UPI0000052FB4,"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",917,924
PROSITE,UPI0000052FB4,Biotin/lipoyl attachment,1754,1832
PROSITE,UPI0000052FB4,ATP-grasp fold,751,948
PROSITE,UPI0000052FB4,"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",783,797
PROSITE,UPI0000052FB4,Biotin-binding site,1788,1805
PROSITE,UPI0000052FB4,Biotin carboxylation domain,632,1075
PROSITE,UPI000013A3B2,,88,191
PROSITE,UPI000013A2A3,WD40 repeat,383,399
PROSITE,UPI000005318E,,43,107
PROSITE,UPI000005318E,,156,221
PROSITE,UPI000005318E,,258,326
PROSITE,UPI000012C815,,3,218
PROSITE,UPI00000009B9,Histone H3/CENP-A,15,21
PROSITE,UPI00000009B9,Histone H3/CENP-A,67,75
PROSITE,UPI000013A3BC,Zn(2)Cys(6) fungal-type DNA-binding domain,55,85
PROSITE,UPI000013A3BC,Zn(2)Cys(6) fungal-type DNA-binding domain,55,87
PROSITE,UPI000012D874,Ras GTPase-activating domain,1709,1898
PROSITE,UPI000012D874,"Ras GTPase-activating protein, conserved site",1855,1869
PROSITE,UPI0000036C23,Alpha crystallin/Hsp20 domain,86,207
PROSITE,UPI0000052F02,"Helicase superfamily 1/2, ATP-binding domain",208,373
PROSITE,UPI0000052F02,SANT domain,882,935
PROSITE,UPI0000052F02,"Helicase, C-terminal domain-like",506,657
PROSITE,UPI000012A121,ER lumen protein retaining receptor,132,141
PROSITE,UPI000012A121,ER lumen protein retaining receptor,31,48
PROSITE,UPI000015489E,DPH-type metal-binding domain,3,59
PROSITE,UPI0000053271,,116,122
PROSITE,UPI000013A281,Zn(2)Cys(6) fungal-type DNA-binding domain,39,70
PROSITE,UPI000013A281,Zn(2)Cys(6) fungal-type DNA-binding domain,39,68
PROSITE,UPI000013A281,PAS domain,429,480
PROSITE,UPI0000053228,"RNA helicase, DEAD-box type, Q motif",171,199
PROSITE,UPI0000053228,"Helicase superfamily 1/2, ATP-binding domain",202,399
PROSITE,UPI0000053228,"ATP-dependent RNA helicase DEAD-box, conserved site",331,339
PROSITE,UPI0000053228,"Helicase, C-terminal domain-like",452,615
PROSITE,UPI000012DE71,Kinesin motor domain,52,410
PROSITE,UPI000012DE71,"Kinesin motor domain, conserved site",310,321
PROSITE,UPI00000530D1,Sm domain,2,76
PROSITE,UPI000013A24D,"Cornichon, conserved site",28,42
PROSITE,UPI0000052E9D,MCM domain,493,699
PROSITE,UPI0000052E9D,"Mini-chromosome maintenance, conserved site",602,610
PROSITE,UPI00001259AB,"Peptidase M24A, methionine aminopeptidase, subfamily 2, binding site",189,205
PROSITE,UPI00001682B9,"Galactokinase, conserved site",52,63
PROSITE,UPI00001682B9,"GHMP kinase, ATP-binding, conserved site",162,173
PROSITE,UPI000013A1FA,Dynamin-type guanine nucleotide-binding (G) domain,184,467
PROSITE,UPI0000052E38,"Formate-tetrahydrofolate ligase, FTHFS, conserved site",447,457
PROSITE,UPI0000052E38,"Formate-tetrahydrofolate ligase, FTHFS, conserved site",739,750
PROSITE,UPI0000052E38,"Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site",301,309
PROSITE,UPI0000052E38,"Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site",109,134
PROSITE,UPI000012A1D6,"Phosphatidylinositol 3/4-kinase, conserved site",2079,2092
PROSITE,UPI000012A1D6,FATC domain,2336,2368
PROSITE,UPI000012A1D6,"Phosphatidylinositol 3-/4-kinase, catalytic domain",2049,2352
PROSITE,UPI000012A1D6,"Phosphatidylinositol 3/4-kinase, conserved site",2209,2229
PROSITE,UPI000012A1D6,PIK-related kinase,1399,1944
PROSITE,UPI000004F8D4,"Aldose 1-epimerase, conserved site",533,542
PROSITE,UPI00001682B8,"Galactose-1-phosphate uridyl transferase, class I His-active site",167,184
PROSITE,UPI000013A20B,"GDT1-like, conserved site",53,62
PROSITE,UPI000217CB6A,"Aminoacyl-tRNA synthetase, class II",205,552
PROSITE,UPI0000053090,"Small ribosomal subunit protein uS5, N-terminal, conserved site",161,194
PROSITE,UPI0000053090,"Small ribosomal subunit protein uS5, N-terminal",144,208
PROSITE,UPI000004F8D3,"Histone H4, conserved site",15,19
PROSITE,UPI0001F7BD23,,13,48
PROSITE,UPI0001F7BD23,,75,106
PROSITE,UPI0001F7BD23,,133,165
PROSITE,UPI0001F7BD23,WD40 repeat,13,48
PROSITE,UPI0000053091,"Small ribosomal subunit protein uS9, conserved site",217,235
PROSITE,UPI0000049723,Protein arginine N-methyltransferase,20,322
PROSITE,UPI000012F60D,WD40 repeat,336,379
PROSITE,UPI000012F60D,,336,370
PROSITE,UPI000012F60D,"WD40 repeat, conserved site",312,326
PROSITE,UPI000004F8DB,Protein arginine N-methyltransferase,329,675
PROSITE,UPI0000036CFA,Histone H2A conserved site,23,29
PROSITE,UPI0000130006,RNA recognition motif domain,360,432
PROSITE,UPI0000130038,High mobility group box domain,27,95
PROSITE,UPI0000053289,"RsmB/NOL1/NOP2-like, conserved site",251,262
PROSITE,UPI0000053289,SAM-dependent methyltransferase RsmB-F/NOP2-type domain,55,411
PROSITE,UPI0000130509,Zinc finger C2H2-type,183,205
PROSITE,UPI0000130509,Zinc finger C2H2-type,153,180
PROSITE,UPI0000052EA3,"Glycoside hydrolase, family 37, conserved site",652,661
PROSITE,UPI0000052EA3,"Glycoside hydrolase, family 37, conserved site",328,341
PROSITE,UPI000004F8CC,"Histone H2B, conserved site",96,118
PROSITE,UPI000013A1BE,"Short-chain dehydrogenase/reductase, conserved site",210,238
PROSITE,UPI0000052EAA,"Aminoacyl-tRNA synthetase, class I, conserved site",47,58
PROSITE,UPI0000053244,"AMP-binding, conserved site",418,429
PROSITE,UPI0000053244,Phosphopantetheine attachment site,875,890
PROSITE,UPI0000053244,Phosphopantetheine binding ACP domain,843,920
PROSITE,UPI00000005FB,Stress-induced protein SRP1/TIP1,96,102
PROSITE,UPI000012EAF0,Major facilitator superfamily domain,102,550
PROSITE,UPI000012EAF0,"Sugar transporter, conserved site",210,235
PROSITE,UPI0001CCAF98,Tubulin-tyrosine ligase/Tubulin polyglutamylase,343,734
PROSITE,UPI000012EAEE,Zn(2)Cys(6) fungal-type DNA-binding domain,7,34
PROSITE,UPI000012EAEE,Zn(2)Cys(6) fungal-type DNA-binding domain,7,36
PROSITE,UPI000012724E,"Mini-chromosome maintenance, conserved site",519,527
PROSITE,UPI000012724E,MCM domain,410,616
PROSITE,UPI000012A555,"AMP-binding, conserved site",194,205
PROSITE,UPI0000110C93,"Pyridoxamine 5'-phosphate oxidase, conserved site",196,209
PROSITE,UPI0000168D6D,"Glutamyl-tRNA(Gln) amidotransferase, subunit B, conserved site",177,191
PROSITE,UPI0000052E53,"Phosphoglucose isomerase, conserved site",277,290
PROSITE,UPI0000052E53,Phosphoglucose isomerase (PGI),15,553
PROSITE,UPI0000052E53,"Phosphoglucose isomerase, conserved site",503,520
PROSITE,UPI0001779D1D,"Protein kinase C-like, phorbol ester/diacylglycerol-binding domain",481,531
PROSITE,UPI0001779D1D,"AGC-kinase, C-terminal",1084,1151
PROSITE,UPI0001779D1D,HR1 rho-binding domain,106,183
PROSITE,UPI0001779D1D,Protein kinase domain,824,1083
PROSITE,UPI0001779D1D,"Protein kinase, ATP binding site",830,853
PROSITE,UPI0001779D1D,C2 domain,190,309
PROSITE,UPI0001779D1D,"Protein kinase C-like, phorbol ester/diacylglycerol-binding domain",482,531
PROSITE,UPI0001779D1D,"Serine/threonine-protein kinase, active site",945,957
PROSITE,UPI000013B462,Yippee domain,41,138
PROSITE,UPI0000036C20,RNA recognition motif domain,85,163
PROSITE,UPI0000053171,"Large ribosomal subunit protein uL16, conserved site",127,138
PROSITE,UPI00000531A6,"Proteasome beta-type subunit, conserved site",32,79
PROSITE,UPI00000531A6,Proteasome B-type subunit,28,226
PROSITE,UPI000013A2A0,"Protein-tyrosine phosphatase, active site",723,733
PROSITE,UPI000013A2A0,Tyrosine-specific protein phosphatases domain,705,770
PROSITE,UPI000013A2A0,Dual specificity protein phosphatase domain,585,783
PROSITE,UPI000004F8CE,Thioredoxin domain,49,212
PROSITE,UPI000158E281,"Phosphoribosyl pyrophosphate synthetase, conserved site",140,155
PROSITE,UPI00000530EA,RNA recognition motif domain,227,298
PROSITE,UPI0000053184,MPN domain,237,377
PROSITE,UPI0000132BBF,Biotin/lipoyl attachment,1095,1170
PROSITE,UPI0000132BBF,"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",174,188
PROSITE,UPI0000132BBF,ATP-grasp fold,141,338
PROSITE,UPI0000132BBF,Biotin-binding site,1126,1143
PROSITE,UPI0000132BBF,Pyruvate carboxyltransferase,558,825
PROSITE,UPI0000132BBF,"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",307,314
PROSITE,UPI0000132BBF,Biotin carboxylation domain,19,471
PROSITE,UPI0000053086,TGS,306,389
PROSITE,UPI0000053086,OBG-type guanine nucleotide-binding (G) domain,21,285
PROSITE,UPI0000053008,Myb domain,692,721
PROSITE,UPI0000053008,SANT/Myb domain,692,717
PROSITE,UPI00000531CA,"Zinc finger, RING-type, conserved site",552,561
PROSITE,UPI00000531CA,"Zinc finger, RING-type",537,581
PROSITE,UPI00000531CA,"Helicase, C-terminal domain-like",623,777
PROSITE,UPI00000531CA,"Helicase superfamily 1/2, ATP-binding domain",197,371
PROSITE,UPI0000130E4F,Pleckstrin homology domain,215,318
PROSITE,UPI0000038E51,"Di-trans-poly-cis-decaprenylcistransferase-like, conserved site",203,220
PROSITE,UPI0000133815,Rho GTPase-activating protein domain,472,663
PROSITE,UPI0000133815,F-BAR domain,33,295
PROSITE,UPI0000128E29,Stress-induced protein SRP1/TIP1,96,102
PROSITE,UPI0000052FC9,,66,130
PROSITE,UPI0000052FC9,,330,394
PROSITE,UPI0000052FC9,,148,213
PROSITE,UPI0001F7BD3A,"Heavy metal-associated domain, HMA",410,477
PROSITE,UPI0001F7BD3A,"P-type ATPase, phosphorylation site",903,909
PROSITE,UPI0000052EFE,Proteasome component (PCI) domain,321,496
PROSITE,UPI0000053194,"RNA polymerase, subunit H/Rpb5, conserved site",147,160
PROSITE,UPI00001682B3,"Large ribosomal subunit protein eL19, conserved site",7,26
PROSITE,UPI00001314D8,Zn(2)Cys(6) fungal-type DNA-binding domain,14,41
PROSITE,UPI00001314D8,Zn(2)Cys(6) fungal-type DNA-binding domain,14,43
PROSITE,UPI000004F8DE,"Large ribosomal subunit protein eL21, conserved site",37,62
PROSITE,UPI000012561E,Mitochondrial substrate/solute carrier,225,311
PROSITE,UPI000004F8D1,"Large ribosomal subunit protein eL32, conserved site",17,37
PROSITE,UPI0000036C27,"Small ribosomal subunit protein eS6, conserved site",52,63
PROSITE,UPI0000131FCD,Histidine acid phosphatase active site,331,347
PROSITE,UPI0000131FCD,Histidine acid phosphatase active site,66,80
PROSITE,UPI000004F8DD,"Small ribosomal subunit protein uS4, conserved site",105,129
PROSITE,UPI000004F8DD,,107,181
PROSITE,UPI0000036C26,Histidine acid phosphatase active site,331,347
PROSITE,UPI0000036C26,Histidine acid phosphatase active site,66,80
PROSITE,UPI0000053295,"Peptidase S16, Lon proteolytic domain",923,1109
PROSITE,UPI0000053295,"Lon protease, N-terminal domain",182,480
PROSITE,UPI0000053295,"Peptidase S16, active site",1012,1020
PROSITE,UPI00001352D4,"Myc-type, basic helix-loop-helix (bHLH) domain",285,344
PROSITE,UPI000013A3B8,Macro domain,1,177
PROSITE,UPI0000135570,"Histone acetyltransferase domain, MYST-type",267,573
PROSITE,UPI00001D476A,"Regulator of chromosome condensation, RCC1",551,561
PROSITE,UPI00001D476A,"Regulator of chromosome condensation, RCC1",109,202
PROSITE,UPI000034F5BF,Major sperm protein (MSP) domain,1,125
PROSITE,UPI000013566E,Thioredoxin domain,101,284
PROSITE,UPI000013A25A,CBS domain,198,256
PROSITE,UPI0000112986,"Proliferating cell nuclear antigen, PCNA, conserved site",34,57
PROSITE,UPI0000112986,"Proliferating cell nuclear antigen, PCNA, conserved site",61,79
PROSITE,UPI00003FEC6E,Zn(2)Cys(6) fungal-type DNA-binding domain,56,89
PROSITE,UPI00003FEC6E,Zn(2)Cys(6) fungal-type DNA-binding domain,56,87
PROSITE,UPI000013213C,"RNA helicase, DEAD-box type, Q motif",255,284
PROSITE,UPI000013213C,"ATP-dependent RNA helicase DEAD-box, conserved site",413,421
PROSITE,UPI000013213C,"Helicase, C-terminal domain-like",502,661
PROSITE,UPI000013213C,"Helicase superfamily 1/2, ATP-binding domain",287,467
PROSITE,UPI00001355CD,"ATPase, AAA-type, conserved site",388,406
PROSITE,UPI000004F8CD,SEP domain,232,297
PROSITE,UPI000004F8CD,UBX domain,344,421
PROSITE,UPI0000168EB0,"PPM-type phosphatase, divalent cation binding",57,65
PROSITE,UPI0000168EB0,PPM-type phosphatase-like domain,23,293
PROSITE,UPI000005329E,"PPM-type phosphatase, divalent cation binding",78,86
PROSITE,UPI000005329E,PPM-type phosphatase-like domain,33,368
PROSITE,UPI0001F7BD2D,Major facilitator superfamily domain,109,673
PROSITE,UPI0001F7BD33,"Helicase, C-terminal domain-like",665,824
PROSITE,UPI0001F7BD33,"Helicase superfamily 1/2, ATP-binding domain",333,521
PROSITE,UPI000013A271,GIY-YIG endonuclease,12,95
PROSITE,UPI0001F7BD3B,Zinc finger C2H2-type,9,31
PROSITE,UPI000013A3C8,Flavodoxin/nitric oxide synthase,4,203
PROSITE,UPI000002FB22,Lumazine-binding domain,1,103
PROSITE,UPI000005310C,"Bromodomain, conserved site",463,520
PROSITE,UPI000005310C,Bromodomain,458,528
PROSITE,UPI00001338F8,Mitochondrial substrate/solute carrier,173,262
PROSITE,UPI000013A3BA,SET domain,26,335
PROSITE,UPI0001F7BD28,WD40 repeat,457,498
PROSITE,UPI000013A273,"Glycosyl hydrolases family 31, active site",533,540
PROSITE,UPI00001682B3,"Large ribosomal subunit protein eL19, conserved site",7,26
PROSITE,UPI0000052E2D,"Large ribosomal subunit protein uL14, conserved site",76,102
PROSITE,UPI00001682BB,"Large ribosomal subunit protein uL4, eukaryotic/archaeal, conserved site",114,140
PROSITE,UPI00001682BD,"Small ribosomal subunit protein uS17, conserved site",120,132
PROSITE,UPI0000036C42,"Small ribosomal subunit protein eS8, conserved site",11,30
PROSITE,UPI000013A1A4,Zn(2)Cys(6) fungal-type DNA-binding domain,106,139
PROSITE,UPI000013A1A4,Zn(2)Cys(6) fungal-type DNA-binding domain,106,137
PROSITE,UPI00001D4768,"Serine hydroxymethyltransferase, pyridoxal phosphate binding site",257,273
PROSITE,UPI0000052E91,Transketolase conserved site,16,36
PROSITE,UPI0000052E91,Transketolase binding site,475,491
PROSITE,UPI000013A310,SANT/Myb domain,70,120
PROSITE,UPI000013A310,Myb domain,97,124
PROSITE,UPI0000052F45,WD40 repeat,220,248
PROSITE,UPI0000052F45,LIS1 homology motif,4,36
PROSITE,UPI0000052F45,,216,248
PROSITE,UPI0000052F45,,397,430
PROSITE,UPI0000052F45,,355,386
PROSITE,UPI0000053058,SH3 domain,69,132
PROSITE,UPI0000135ABC,"Transcription factor, MADS-box",1,61
PROSITE,UPI0000135ABC,"Transcription factor, MADS-box",3,57
PROSITE,UPI0000112A3F,"Ubiquitin-conjugating enzyme E2, catalytic core domain",2,148
PROSITE,UPI0000112A3F,"Ubiquitin-conjugating enzyme, active site",75,90
PROSITE,UPI0001F7BD27,Ubiquitin specific protease domain,140,668
PROSITE,UPI0001F7BD27,"Ubiquitin specific protease, conserved site",141,156
PROSITE,UPI0001F7BD27,"Ubiquitin specific protease, conserved site",602,620
PROSITE,UPI00001D4767,GYF domain,205,261
PROSITE,UPI0000052FAD,,305,559
PROSITE,UPI000013A284,Major facilitator superfamily domain,1,473
PROSITE,UPI000013A29F,UBX domain,212,290
PROSITE,UPI0001F7BD30,"Serine/threonine-protein kinase, active site",143,155
PROSITE,UPI0001F7BD30,WD40 repeat,1076,1111
PROSITE,UPI0001F7BD30,Protein kinase domain,27,300
PROSITE,UPI0001F7BD30,"HEAT, type 2",620,658
PROSITE,UPI0000052DE8,"Heat shock protein 70, conserved site",195,208
PROSITE,UPI0000052DE8,"Heat shock protein 70, conserved site",7,14
PROSITE,UPI0000052DE8,"Heat shock protein 70, conserved site",332,346
PROSITE,UPI0000052EE2,"Heat shock protein 70, conserved site",338,352
PROSITE,UPI0000052EE2,"Heat shock protein 70, conserved site",201,214
PROSITE,UPI0000135FC5,SecY conserved site,78,97
PROSITE,UPI000005306F,"ATPase, alpha/beta subunit, nucleotide-binding domain, active site",371,380
PROSITE,UPI0000136209,STAS domain,638,783
PROSITE,UPI0000136209,"Sulphate anion transporter, conserved site",150,171
PROSITE,UPI000006C273,"Aspartic peptidase, active site",458,469
PROSITE,UPI000006C273,"Integrase, catalytic core",660,835
PROSITE,UPI0000125600,NUDIX hydrolase domain,75,214
PROSITE,UPI0000125600,"NUDIX hydrolase, conserved site",116,137
PROSITE,UPI000013A278,BCNT-C domain,217,294
PROSITE,UPI0000052FF2,,92,124
PROSITE,UPI0000052FF2,WD40 repeat,92,133
PROSITE,UPI0000052FA4,LIS1 homology motif,56,88
PROSITE,UPI0000052FA4,"WD40 repeat, conserved site",666,680
PROSITE,UPI0000052FA4,,563,595
PROSITE,UPI0000052FA4,,521,556
PROSITE,UPI0000052FA4,,605,641
