REGION,GENE,SGDID,CHROM,START,STOP,STRAND,PROTEIN_LENGTH,GENE_NAME,DESCRIPTION,SUMMARY
YAL047C,SPC72,S000000045,chrI,54989,56857,-1,622,Spindle Pole Component,Gamma-tubulin small complex (gamma-TuSC) receptor,"Structural constituent of cytoskeleton; involved in microtubule nucleation,nuclear migration along microtubule, mitotic spindle elongation, mitotic spindle orientation checkpoint and mitotic sister chromatid segregation; localizes to outer plaque of spindle pole body"
YAL009W,SPO7,S000000007,chrI,135854,136633,1,259,SPOrulation,Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme,Subunit of the membrane Nem1-Spo7 phosphoprotein phosphatase complex involved in nuclear envelope organization and regulation of phospholipid biosynthesis; positive regulator of phosphatidate phosphatase
YAL005C,SSA1,S000000004,chrI,139503,141431,-1,642,Stress-Seventy subfamily A,ATPase involved in protein folding and NLS-directed nuclear transport,"ATPase involved in protein folding, nuclear import, stress granule disassembly, and clathrin coat disassembly; localizes to many places in the cell, including the cell wall, vacuolar and plasma membranes, and the nucleus"
YAL011W,SWC3,S000000009,chrI,132199,134076,1,625,SWr Complex,Protein of unknown function,Subunit of Swr1 chromatin remodeling complex involved in histone exchange and endoplasmic reticulum organization; localizes to nucleus and mitochondria
YAR003W,SWD1,S000000064,chrI,155005,156285,1,426,"Set1c, WD40 repeat protein",Subunit of the COMPASS (Set1C) complex,Histone H3 lysine 4-specific methyltransferase subunit of Set1C/COMPASS complex; involved in telomeric silencing and transcription regulation
YAR042W,SWH1,S000000081,chrI,192619,196185,1,1188,,Protein similar to mammalian oxysterol-binding protein,"Sterol transporter involved in endocytosis, exocytosis, and maintenance of cell polarity; localizes to various sites throughout the endomembrane system such as the nuclear envelope, nucleus-vacuolar junction, endoplasmic reticulum, Golgi, and early endosomes"
YAL014C,SYN8,S000000012,chrI,128252,129019,-1,255,SYNtaxin,Endosomal SNARE related to mammalian syntaxin 8,Endosomal SNAP receptor involved in Golgi to vacuole transport
YAL064C-A,TDA8,S000002140,chrI,13363,13743,-1,126,Topoisomerase I Damage Affected,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YAL001C,TFC3,S000000001,chrI,147594,151166,-1,1160,Transcription Factor class C,Subunit of RNA polymerase III transcription initiation factor complex,Subunit of the transcription factor TFIIIC complex; involved in recruiting TFIIIB to chromatin for transcription of RNA genes by RNA polymerase III
YAL016W,TPD3,S000000014,chrI,124879,126786,1,635,tRNA Processing Deficient,Regulatory subunit A of the heterotrimeric PP2A complex,"Subunit of protein phosphatase type 2A complex; involved in translation regulation and mitotic spindle assembly checkpoint; localizes throughout cell to nucleus, cytoplasm, spindle pole body, bud neck, bud neck, and shmoo tip"
YAR027W,UIP3,S000000075,chrI,183770,184477,1,235,Ulp1 Interacting Protein,Putative integral membrane protein of unknown function,Protein whose biological role is unknown; localized to the nuclear envelope in large scale studies
YAL002W,VPS8,S000000002,chrI,143707,147531,1,1274,Vacuolar Protein Sorting,Membrane-binding component of the CORVET complex,A GTPase binding protein anchor that is subunit of the CORVET endosomal tethering complex; involved in protein targeting during late endosome to vacuole transport
YAR035W,YAT1,S000000080,chrI,190193,192256,1,687,,Outer mitochondrial carnitine acetyltransferase,Putative mitochondrial carnitine O-palmitoyltransferase involved in carnitine metabolism
YAL004W,YAL004W,S000002136,chrI,140760,141407,1,215,,Dubious open reading frame,
YAL016C-A,YAL016C-A,S000028728,chrI,124755,125069,-1,104,,Dubious open reading frame,
YAL016C-B,YAL016C-B,S000028528,chrI,124307,124492,-1,61,,Dubious open reading frame,
YAL019W-A,YAL019W-A,S000028729,chrI,114250,114819,1,189,,Dubious open reading frame,
YAL026C-A,YAL026C-A,S000028730,chrI,95386,95823,-1,145,,Dubious open reading frame,
YAL031W-A,YAL031W-A,S000028731,chrI,84669,84977,1,102,,Dubious open reading frame,
YAL034C-B,YAL034C-B,S000002137,chrI,79489,79842,-1,117,,Dubious open reading frame,
YAL037C-A,YAL037C-A,S000028732,chrI,73426,73518,-1,30,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YAL037C-B,YAL037C-B,S000028592,chrI,72326,73300,-1,324,,Dubious open reading frame,
YAL037W,YAL037W,S000000035,chrI,74020,74823,1,267,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YAL042C-A,YAL042C-A,S000002138,chrI,61231,61608,-1,125,,Dubious open reading frame,
YAL045C,YAL045C,S000000043,chrI,57488,57796,-1,102,,Dubious open reading frame,
YAL047W-A,YAL047W-A,S000028733,chrI,54584,54913,1,109,,Dubious open reading frame,
YAL056C-A,YAL056C-A,S000002139,chrI,38696,39046,-1,116,,Dubious open reading frame,
YAL059C-A,YAL059C-A,S000028734,chrI,36496,36918,-1,140,,Dubious open reading frame,
YAL063C-A,YAL063C-A,S000028813,chrI,22395,22685,-1,96,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YAL064W,YAL064W,S000000060,chrI,21566,21850,1,94,,Protein of unknown function,Protein whose biological role and cellular location are unknown
YAL064W-B,YAL064W-B,S000002141,chrI,12046,12426,1,126,,Fungal-specific protein of unknown function,Predicted integral membrane protein whose biological role is unknown
YAL065C,YAL065C,S000001817,chrI,11565,11951,-1,128,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YAL066W,YAL066W,S000000061,chrI,10091,10399,1,102,,Dubious open reading frame,
YAL067W-A,YAL067W-A,S000028593,chrI,2480,2707,1,75,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YAL068W-A,YAL068W-A,S000028594,chrI,538,792,1,84,,Dubious open reading frame,
YAL069W,YAL069W,S000002143,chrI,335,649,1,104,,Dubious open reading frame,
YAR009C,YAR009C,S000000067,chrI,160597,164187,-1,1196,,Retrotransposon TYA Gag and TYB Pol genes,
YAR010C,YAR010C,S000000068,chrI,164544,165866,-1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,
YAR019W-A,YAR019W-A,S000028735,chrI,174998,175330,1,110,,Dubious open reading frame,
YAR030C,YAR030C,S000001821,chrI,186512,186853,-1,113,,Dubious open reading frame,
YAR035C-A,YAR035C-A,S000028595,chrI,192337,192417,-1,26,,Putative protein of unknown function,Mitochondrial protein whose biological role is unknown
YAR043C,YAR043C,S000120182,chrI,192928,193248,-1,106,,Deleted ORF,
YAR044W,YAR044W,S000000082,chrI,193600,196179,1,859,,Merged open reading frame,
YAR047C,YAR047C,S000000083,chrI,201467,201787,-1,106,,Dubious open reading frame,
YAR052C,YAR052C,S000120184,chrI,207122,207502,-1,126,,Deleted ORF,
YAR053W,YAR053W,S000000085,chrI,208367,208663,1,98,,Dubious open reading frame,
YAR060C,YAR060C,S000000086,chrI,217157,217492,-1,111,,Dubious open reading frame,
YAR061W,YAR061W,S000000087,chrI,218140,219145,1,334,,Pseudogenic fragment with similarity to flocculins,Protein whose biological role and cellular location are unknown
YAR062W,YAR062W,S000000088,chrI,218549,219145,1,198,,Pseudogenic fragment with similarity to flocculins,
YAR064W,YAR064W,S000000089,chrI,220198,220497,1,99,,Pseudogenic fragment with similarity to flocculins,Protein whose biological role and cellular location are unknown
YAR066W,YAR066W,S000002144,chrI,221049,221660,1,203,,Putative GPI protein,Protein whose biological role and cellular location are unknown
YAR068W,YAR068W,S000000091,chrI,222406,222891,1,161,,Fungal-specific protein of unknown function,Protein whose biological role and cellular location are unknown
YAR069C,YAR069C,S000000092,chrI,224011,224304,-1,97,,Dubious open reading frame,
YAR070C,YAR070C,S000000093,chrI,224563,224862,-1,99,,Dubious open reading frame,
YAR074C,YAR074C,S000120186,chrI,228529,228855,-1,108,,Deleted ORF,
YAR075W,YAR075W,S000002145,chrI,228844,229317,1,157,,Non-functional protein with homology IMP dehydrogenase,
YBR085W,AAC3,S000000289,chrII,415983,416906,1,307,ADP/ATP Carrier,Mitochondrial inner membrane ADP/ATP translocator,"An ATP:ADP antiporter involved in heme, ADP, and ADP transport as well as anaerobic respiration; localized to the mitochondrial inner membrane"
YBL074C,AAR2,S000000170,chrII,86722,87789,-1,355,A1-Alpha2 Repression,Component of the U5 snRNP complex,A protein involved in the assembly of a spliceosomal tri-snRNP complex; localizes to U5 snRNP
YBR236C,ABD1,S000000440,chrII,690383,691693,-1,436,,Methyltransferase,Messenger RNA (mRNA) guanine 7-methyltransferase involved in addition of 7-methylguanosine cap to 5' end of nascent mRNA transcript; localizes to nucleus and cytoplasm
YBL015W,ACH1,S000000111,chrII,194122,195702,1,526,Acetyl CoA Hydrolase,Protein with CoA transferase activity,Acetate CoA-transferase and acetyl-CoA hydrolase; involved in the metabolism of acetate; localizes to the mitochondrion and cytosol
YBR145W,ADH5,S000000349,chrII,533762,534817,1,351,Alcohol DeHydrogenase,Alcohol dehydrogenase isoenzyme V,NAD-dependent alcohol dehydrogenase that converts ethanol to acetylaldehyde
YBR132C,AGP2,S000000336,chrII,499652,501442,-1,596,high-Affinity Glutamine Permease,Plasma membrane regulator of high affinity polyamine and carnitine tra,"Membrane protein that positively regulates the transport of (R)-carnitine and polyamines across membranes; localizes to plasma, vacuolar, and endoplasmic reticulum membranes"
YBR108W,AIM3,S000000312,chrII,454822,457665,1,947,Altered Inheritance rate of Mitochondria,Protein that inhibits barbed-end actin filament elongation,Protein with a role in capping barbed-end actin filaments and assembly of actin cortical patches; localized to membrane rafts and actin cortical patches
YBR194W,AIM4,S000000398,chrII,610038,610409,1,123,Altered Inheritance rate of Mitochondria,Protein proposed to be associated with the nuclear pore complex,Protein whose biological role is unknown; localized to the cytoplasm
YBR059C,AKL1,S000000263,chrII,356861,360187,-1,1108,Ark family Kinase-Like protein,Ser/Thr protein kinase,Serine/threonine kinase that negatively regulates clathrin-dependent endocytosis; localized to the cellular bud neck and prospore membrane
YBR110W,ALG1,S000000314,chrII,458872,460221,1,449,Asparagine-Linked Glycosylation,Mannosyltransferase,"Beta-1,4-mannosyltransferase that transfers a mannose residue to an oligosaccharide; involved in protein glycosylation and the assembly of oligosaccharide-lipid intermediates; localizes to the endoplasmic reticulum"
YBR070C,ALG14,S000000274,chrII,379221,379934,-1,237,Asparagine Linked Glycosylation,Component of UDP-GlcNAc transferase,An N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase that is a component of the UDP-N-acetylglucosamine transferase complex that is involved in the dolichol-linked oligosaccharide biosynthetic process; localizes to the intrinsic component of endoplasmic reticulum membrane
YBL082C,ALG3,S000000178,chrII,69751,71127,-1,458,Asparagine Linked Glycosylation,Dolichol-P-Man dependent alpha(1-3) mannosyltransferase,"Alpha-1,3-mannosyltransferase that transfers a mannose residue to an oligosaccharide; involved in protein glycosylation and the assembly of oligosaccharide-lipid intermediates; localizes to the endoplasmic reticulum"
