Database,UniparcID,Description,Start,End
Pfam,UPI000013A3D0,Oligosaccharide biosynthesis protein Alg14-like,57,236
Pfam,UPI0000035CFE,Cysteine-rich transmembrane domain,92,128
Pfam,UPI000004F8DA,Tetratricopeptide repeat,332,361
Pfam,UPI000004F8DA,Tetratricopeptide repeat,82,113
Pfam,UPI000004F8DA,,277,329
Pfam,UPI0000125839,"Glycosyltransferase, ALG3",49,417
Pfam,UPI000012BA44,"Glycosyl transferase, family 4",131,304
Pfam,UPI000013A1FF,Major facilitator superfamily,117,461
Pfam,UPI000013A2A8,,283,668
Pfam,UPI000013A1A9,Thioredoxin-like ferredoxin,70,308
Pfam,UPI00001682AD,Arrestin C-terminal-like domain,585,653
Pfam,UPI0001B23525,Mu homology domain,199,483
Pfam,UPI0000125CA3,Endonuclease/exonuclease/phosphatase,20,354
Pfam,UPI0000125CA3,"Zinc finger, GRF-type",474,520
Pfam,UPI0000125C67,Ubiquitin-like protein Atg12,103,186
Pfam,UPI0000053275,UV radiation resistance protein/autophagy-related protein 14,3,224
Pfam,UPI0000053246,EH domain,10,92
Pfam,UPI0000053246,Ubiquitin-associated domain,1345,1377
Pfam,UPI00001D4760,"Amino acid transporter, transmembrane domain",2,445
Pfam,UPI000004F8D5,"ATP synthase, F1 complex, gamma subunit",35,310
Pfam,UPI0000052FD0,Bystin,156,467
Pfam,UPI0001F7BD3C,TORC2 component Bit61/PRR5,325,482
Pfam,UPI000013A29E,Lysine methyltransferase,216,384
Pfam,UPI000013A1F2,Alpha/beta hydrolase fold-1,166,429
Pfam,UPI000013A37E,FAD-binding domain,4,360
Pfam,UPI0001B72803,Condensin complex subunit 2/barren,23,742
Pfam,UPI0000126AF3,NEDD4/Bsd2,171,315
Pfam,UPI00001271C1,,12,141
Pfam,UPI000006ADA1,AMP-dependent synthetase/ligase domain,84,410
Pfam,UPI000013A1D1,Exonuclease V,125,561
Pfam,UPI0000053253,,310,459
Pfam,UPI0000053253,"Exocyst component Exo84, C-terminal",535,738
Pfam,UPI0000053253,,178,261
Pfam,UPI000013A3F0,"CCZ1/INTU/HSP4, first Longin domain",3,124
Pfam,UPI0000231E73,"Formyl transferase, C-terminal",275,386
Pfam,UPI0000231E73,"Formyl transferase, N-terminal",31,231
Pfam,UPI0001F7BD2B,,40,124
Pfam,UPI0001F7BD2B,,680,733
Pfam,UPI0001F7BD2B,Tetratricopeptide repeat,540,573
Pfam,UPI0001F7BD2B,Tetratricopeptide repeat,575,607
Pfam,UPI000012AA32,Major facilitator superfamily,109,492
Pfam,UPI0000127457,,64,393
Pfam,UPI000012AD91,Protein kinase domain,14,309
Pfam,UPI000013A3C4,Protein Fmp23,53,175
Pfam,UPI000012AD5B,Purine-cytosine permease,119,575
Pfam,UPI0000127907,Chitin synthase N-terminal,237,297
Pfam,UPI0000127907,Fungal chitin synthase,298,458
Pfam,UPI0000052F54,"Cyclin-dependent kinase, regulatory subunit",28,103
Pfam,UPI0000053034,Tetratricopeptide repeat,124,154
Pfam,UPI0000053034,"Cns1/TTC4, wheel domain",257,374
Pfam,UPI0000127EF5,Polyprenyl synthetase-like,297,422
Pfam,UPI000013A1CA,"Glycosyltransferase, DXD sugar-binding motif",76,159
Pfam,UPI000013A3C1,"Acyltransferase, C-terminal domain",301,361
Pfam,UPI000013A3C1,Phospholipid/glycerol acyltransferase,103,274
Pfam,UPI0001F7BD29,GPI mannosyltransferase 2,3,433
Pfam,UPI00001682C5,DASH complex subunit Dad3,5,87
Pfam,UPI0000030763,Transcription factor CBF/NF-Y/archaeal histone domain,40,104
Pfam,UPI00001682C4,Derlin,12,201
Pfam,UPI000012BBF6,Glutathione peroxidase,5,112
Pfam,UPI0000052FB4,"Biotin carboxylase-like, N-terminal domain",633,740
Pfam,UPI0000052FB4,"Allophanate hydrolase, C-terminal domain",493,619
Pfam,UPI0000052FB4,"Carboxyltransferase domain, subdomain A and B",1103,1381
Pfam,UPI0000052FB4,Amidase signature domain,35,449
Pfam,UPI0000052FB4,"Carboxyltransferase domain, subdomain C and D",1438,1653
Pfam,UPI0000052FB4,"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",747,949
Pfam,UPI0000052FB4,"Biotin carboxylase, C-terminal",967,1071
Pfam,UPI0000052FB4,Biotin/lipoyl attachment,1771,1831
Pfam,UPI000013A3B2,Glutaredoxin,101,163
Pfam,UPI000013A2A3,"Peptidase M20, dimerisation domain",628,774
Pfam,UPI000013A2A3,WD40 repeat,67,98
Pfam,UPI000013A2A3,Peptidase M20,517,875
Pfam,UPI000005318E,"K Homology domain, type 1",261,327
Pfam,UPI00001682C6,dUTPase-like,17,146
Pfam,UPI000012C815,Histidine biosynthesis protein,239,532
Pfam,UPI000012C815,Glutamine amidotransferase,6,210
Pfam,UPI00000009B9,Histone H2A/H2B/H3,7,132
Pfam,UPI000013A2A5,Thiamine-binding protein,8,98
Pfam,UPI000153C014,Hpc2-related domain,568,600
Pfam,UPI00000531F6,"STL11/RBM22-like, N-terminal domain",10,126
Pfam,UPI000013128B,Ketopantoate hydroxymethyltransferase,27,289
Pfam,UPI00000530B9,"DNA mismatch repair protein HSM3, C-terminal domain",304,478
Pfam,UPI00000530B9,"DNA mismatch repair protein HSM3, N-terminal domain",11,245
Pfam,UPI0001F7BD35,"Transcription regulator Rua1, C-terminal",163,283
Pfam,UPI000013A3BC,Zn(2)Cys(6) fungal-type DNA-binding domain,54,94
Pfam,UPI000012D874,Ras GTPase-activating domain,1731,1795
Pfam,UPI0000036C23,Alpha crystallin/Hsp20 domain,96,207
Pfam,UPI0000052F02,"SNF2, N-terminal",199,481
Pfam,UPI0000052F02,"ISWI, HAND domain",776,883
Pfam,UPI0000052F02,"Helicase, C-terminal domain-like",503,616
Pfam,UPI0000052F02,SLIDE domain,941,1057
Pfam,UPI000012A121,ER lumen protein retaining receptor,29,175
Pfam,UPI000015489E,DPH-type metal-binding domain,5,59
Pfam,UPI0000053271,Inorganic pyrophosphatase,46,228
Pfam,UPI000013A281,Zn(2)Cys(6) fungal-type DNA-binding domain,38,77
Pfam,UPI000013A281,"ERT1/acuK family, PAS domain",421,493
Pfam,UPI000013A2C5,YBL010C/LAA2-like,41,116
Pfam,UPI00001682C0,"Anoctamin, transmembrane domain",120,597
Pfam,UPI0000053228,DEAD/DEAH box helicase domain,195,382
Pfam,UPI0000053228,"Helicase, C-terminal domain-like",459,574
Pfam,UPI000012DE71,Kinesin motor domain,58,410
Pfam,UPI00000530D1,"Sm domain, eukaryotic/archaea-type",6,70
Pfam,UPI000013A24D,Cornichon,8,127
Pfam,UPI0000052F7E,HEAT repeat,694,722
Pfam,UPI0000052F7E,,435,489
Pfam,UPI0000052F2A,"Glycosyl transferase, family 15",56,354
Pfam,UPI000004F8D9,Nucleotide exchange factor Fes1,1,82
Pfam,UPI000012A7A8,Cell fusion protein Dni1/Fig1,67,265
Pfam,UPI000012E11E,"Glycosyl transferase, family 15",127,413
Pfam,UPI0000052E9D,MCM OB domain,306,432
Pfam,UPI0000052E9D,MCM domain,481,703
Pfam,UPI0000052E9D,"MCM, AAA-lid domain",761,844
Pfam,UPI0000052E9D,DNA replication licensing factor Mcm2,52,193
Pfam,UPI0000052E9D,"MCM, N-terminal domain",209,298
Pfam,UPI000158D80C,Alpha/beta hydrolase fold-1,88,358
Pfam,UPI0000069BF9,Iron permease FTR1/Fip1/EfeU,8,403
Pfam,UPI000012AD73,Purine-cytosine permease,103,562
Pfam,UPI000012EF4E,"Siroheme biosynthesis protein Met8, C-terminal",193,255
Pfam,UPI000012EF4E,,7,152
Pfam,UPI000012EF4E,"Siroheme synthase, central domain",159,183
Pfam,UPI00001259AB,Peptidase M24,105,316
Pfam,UPI00001682B9,"Galactokinase, N-terminal domain",34,82
Pfam,UPI00001682B9,GHMP kinase N-terminal domain,139,224
Pfam,UPI00001682B9,"GHMP kinase, C-terminal domain",423,498
Pfam,UPI000013A1FA,"Dynamin, N-terminal",190,370
Pfam,UPI0000052E38,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",38,154
Pfam,UPI0000052E38,"Formate-tetrahydrofolate ligase, FTHFS",346,975
Pfam,UPI0000052E38,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",157,323
Pfam,UPI000012A1D6,"Phosphatidylinositol 3-/4-kinase, catalytic domain",2075,2315
Pfam,UPI000012A1D6,,1,725
Pfam,UPI000012A1D6,"Serine/threonine-protein kinase ATR-like, M-HEAT region",1242,1470
Pfam,UPI000012A1D6,,1880,1978
Pfam,UPI000012A1D6,UME domain,876,977
Pfam,UPI000012A1D6,"PIK-related kinase, FAT",1571,1853
Pfam,UPI000012A1D6,FATC domain,2338,2368
Pfam,UPI000006AF56,ERCC4 domain,423,589
Pfam,UPI00001377AB,Alpha-mannosyltransferase,170,440
Pfam,UPI000004F8D4,NAD(P)-binding domain,15,343
Pfam,UPI000004F8D4,Aldose 1-/Glucose-6-phosphate 1-epimerase,376,697
Pfam,UPI00001D4766,"Ribosomal protein bL31m, N-terminal domain",24,83
Pfam,UPI00001682B8,"Galactose-1-phosphate uridyl transferase, N-terminal",6,192
Pfam,UPI00001682B8,"Galactose-1-phosphate uridyl transferase, C-terminal",198,365
Pfam,UPI000013A20B,GDT1-like,44,117
Pfam,UPI000217CB6A,Anticodon-binding,570,661
Pfam,UPI0000053090,"Small ribosomal subunit protein uS5, C-terminal",223,292
Pfam,UPI0000053090,"Small ribosomal subunit protein uS5, N-terminal",144,209
Pfam,UPI000004F8D3,"CENP-T/Histone H4, histone fold",33,96
Pfam,UPI0001F7BD23,"CAF1B/HIR1, beta-propeller domain",23,390
Pfam,UPI0001F7BD23,HIRA B motif,486,505
Pfam,UPI0001F7BD23,"Protein HIRA-like, C-terminal",735,795
Pfam,UPI0000053091,Small ribosomal subunit protein uS9,158,278
Pfam,UPI0000049723,Protein arginine N-methyltransferase domain,164,329
Pfam,UPI0000049723,,58,131
Pfam,UPI000012F60D,"Translation initiation factor, beta propellor-like domain",204,356
Pfam,UPI000012F60D,WD40 repeat,376,412
Pfam,UPI000012F60D,"Histone-binding protein RBBP4-like, N-terminal",21,88
Pfam,UPI000004F8DB,"PRMT5, oligomerisation domain",496,823
Pfam,UPI000004F8DB,"PRMT5, TIM barrel domain",38,308
Pfam,UPI000004F8DB,PRMT5 arginine-N-methyltransferase,318,493
Pfam,UPI0000036CFA,Histone H2A/H2B/H3,8,90
Pfam,UPI0000036CFA,"Histone H2A, C-terminal domain",93,127
Pfam,UPI0000130006,RNA recognition motif domain,194,265
Pfam,UPI0000130038,High mobility group box domain,27,95
Pfam,UPI0000053289,,459,554
Pfam,UPI0000053289,"SAM-dependent methyltransferase RsmB-F/NOP2-type, catalytic core",159,408
Pfam,UPI0000053289,,557,644
Pfam,UPI0000052EA3,"Glycoside hydrolase, family 37",192,750
Pfam,UPI0000052EA3,Neutral trehalase Ca2+ binding,135,164
Pfam,UPI000004F8CC,Histone H2A/H2B/H3,6,104
Pfam,UPI000013A1BE,Short-chain dehydrogenase/reductase SDR,65,264
Pfam,UPI0000052EAA,,870,1070
Pfam,UPI0000052EAA,"Aminoacyl-tRNA synthetase, class Ia",17,640
Pfam,UPI0000052EAA,"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding",693,851
Pfam,UPI000034F5C0,Chromatin structure-remodeling complex protein Rsc14,7,106
Pfam,UPI0000053244,Phosphopantetheine binding ACP domain,851,915
Pfam,UPI0000053244,"Fatty acyl-coenzyme A reductase-like, NAD-binding domain",975,1225
Pfam,UPI0000053244,AMP-dependent synthetase/ligase domain,243,633
Pfam,UPI00000005FB,Stress-induced protein SRP1/TIP1,22,114
Pfam,UPI000012EAF0,"Major facilitator, sugar transporter-like",103,561
Pfam,UPI000012EAEF,"Glycosyl hydrolase, family 13, catalytic domain",21,505
Pfam,UPI0001CCAF98,Tubulin-tyrosine ligase/Tubulin polyglutamylase,391,730
Pfam,UPI0001CCAF98,Survival protein SurE-like phosphatase/nucleotidase,3,236
Pfam,UPI000012EAEE,Zn(2)Cys(6) fungal-type DNA-binding domain,6,43
Pfam,UPI000012EAEE,"Transcription factor domain, fungi",88,243
Pfam,UPI000012ED01,"Inner membrane mitoribosome receptor Mba1, mitochondrial",42,278
Pfam,UPI000012724E,,742,804
Pfam,UPI000012724E,"MCM, N-terminal domain",20,127
Pfam,UPI000012724E,"MCM, AAA-lid domain",637,723
Pfam,UPI000012724E,MCM OB domain,227,357
Pfam,UPI000012724E,MCM domain,399,620
Pfam,UPI000012A555,AMP-dependent synthetase/ligase domain,19,395
Pfam,UPI000012A555,"AMP-binding enzyme, C-terminal domain",448,523
Pfam,UPI0000110C93,"Pyridoxamine 5'-phosphate oxidase, N-terminal",56,162
Pfam,UPI0000110C93,"Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal",186,228
Pfam,UPI0000053155,"Mediator complex, subunit Med8, fungi/metazoa",32,156
Pfam,UPI000012EDFA,"Clp ATPase, C-terminal",372,437
Pfam,UPI000012EDFA,"ATPase, AAA-type, core",133,366
Pfam,UPI0000168D6D,"Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic",30,316
Pfam,UPI0000168D6D,Asn/Gln amidotransferase,374,537
Pfam,UPI0000053293,"Sortilin, N-terminal",762,1208
Pfam,UPI0000053293,"Sortilin, C-terminal",559,716
Pfam,UPI000006B399,,1,68
Pfam,UPI000013A29A,MICOS complex subunit Mic12,45,102
Pfam,UPI0000052E53,Phosphoglucose isomerase (PGI),63,547
Pfam,UPI0001F7BD34,"Vacuolar membrane protease, transmembrane domain",397,695
Pfam,UPI0001F7BD34,"Vacuolar membrane protease, C-terminal domain",722,970
Pfam,UPI0001F7BD34,Peptidase M28,136,323
Pfam,UPI000013A39A,Intermembrane space protein MIX23,38,181
Pfam,UPI0001779D1D,HR1 rho-binding domain,8,68
Pfam,UPI0001779D1D,"Protein kinase, C-terminal",1104,1144
Pfam,UPI0001779D1D,"Protein kinase C-like, phorbol ester/diacylglycerol-binding domain",482,533
Pfam,UPI0001779D1D,Protein kinase domain,826,1083
Pfam,UPI0001779D1D,C2 domain,209,280
Pfam,UPI000013B462,Yippee/Mis18/Cereblon,42,136
Pfam,UPI000013A285,Phosphate transporter,24,554
Pfam,UPI0000036C20,RNA recognition motif domain,87,157
Pfam,UPI0000053171,Large ribosomal subunit protein uL16,48,179
Pfam,UPI0000131F38,Ribonuclease P protein subunit Rpp29/RNP1,172,263
Pfam,UPI000005308D,Small ribosomal subunit protein bS21,106,158
Pfam,UPI0000053176,Large ribosomal subunit protein mL41,35,131
Pfam,UPI0000131F3D,Ribonucleases P/MRP subunit Pop8-like domain,8,84
Pfam,UPI00000531A6,"Proteasome, subunit alpha/beta",27,225
Pfam,UPI000013A2A0,"Dual specificity phosphatase, catalytic domain",668,777
Pfam,UPI00001342EC,Large ribosomal subunit protein mL54,26,104
Pfam,UPI000004F8CE,"Peroxiredoxin, C-terminal",209,245
Pfam,UPI000004F8CE,Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant,52,188
Pfam,UPI000013A37A,Thioesterase domain,147,214
Pfam,UPI000158E281,Ribose-phosphate pyrophosphokinase,212,321
Pfam,UPI000158E281,"Ribose-phosphate pyrophosphokinase, N-terminal domain",14,132
Pfam,UPI00000530EA,RNA recognition motif domain,229,290
Pfam,UPI000158E365,"Peptidyl-tRNA hydrolase, PTH2",89,208
Pfam,UPI0000053184,"Nuclear pore localisation protein NPL4, C-terminal",259,577
Pfam,UPI0000053184,"NPL4, zinc-binding putative",114,256
Pfam,UPI000012FC19,"Nucleoporin, Nup133/Nup155-like, C-terminal",767,1490
Pfam,UPI000012FC19,"Nucleoporin, Nup133/Nup155-like, N-terminal",145,648
Pfam,UPI0000132BBF,"Biotin carboxylase, C-terminal",360,467
Pfam,UPI0000132BBF,Biotin/lipoyl attachment,1102,1169
